curve,group,step,n,mean,median,std
score_norm,real,0,40,0.21941919559268208,0.21141474811839822,0.041546216055716595
score_norm,real,1,40,0.5399935880463401,0.5354699950337507,0.0418191610398966
score_norm,real,2,40,0.6706616842068996,0.6693459613997175,0.03903674460246996
score_norm,real,3,40,0.7723106057001401,0.785676649113388,0.04584866058306906
score_norm,real,4,40,0.83439030770098,0.8435242296491646,0.04070344231192252
score_norm,real,5,40,0.8716933887761066,0.8795442008900702,0.035670921201013936
score_norm,ADM,0,5,0.18205210237971492,0.17428748216786907,0.01701847902951164
score_norm,ADM,1,5,0.582217995396083,0.5860609568716063,0.030196962931808038
score_norm,ADM,2,5,0.7118506116461456,0.7111177192695627,0.02208740115120076
score_norm,ADM,3,5,0.8264210049166817,0.8266135451098973,0.02597527229376825
score_norm,ADM,4,5,0.8797315132787855,0.8920950319731825,0.02209277831088845
score_norm,ADM,5,5,0.9141168831663901,0.9273253009146498,0.020143022305567353
score_norm,BigGAN,0,5,0.206749935429821,0.22809812002067492,0.04715399267955092
score_norm,BigGAN,1,5,0.5647884184451412,0.5822519963521101,0.04279546490714741
score_norm,BigGAN,2,5,0.6872500157169366,0.6988520200928394,0.03801302312727078
score_norm,BigGAN,3,5,0.7884530479021815,0.7996894717005802,0.05338215730461152
score_norm,BigGAN,4,5,0.8426683809174085,0.8454774307368043,0.04984156484387737
score_norm,BigGAN,5,5,0.8801311770975074,0.8785188860024328,0.04385213264533475
score_norm,DALLE2,0,5,0.25956301292195183,0.24595831617219546,0.04227918742340057
score_norm,DALLE2,1,5,0.544984665484805,0.531151339003478,0.08595892888293141
score_norm,DALLE2,2,5,0.6550496168597076,0.6589394280344841,0.050739532230512176
score_norm,DALLE2,3,5,0.7507529682138148,0.7368737717873622,0.050150165508678145
score_norm,DALLE2,4,5,0.8100744361198234,0.8085621384306008,0.04281642804586037
score_norm,DALLE2,5,5,0.8533209037972578,0.8554934400533479,0.03817282274664337
score_norm,GLIDE,0,5,0.32177422812859596,0.4026303927963561,0.1088106296207761
score_norm,GLIDE,1,5,0.5490164108912243,0.5498637476256951,0.049775307035421754
score_norm,GLIDE,2,5,0.6525991451438605,0.6540628183312904,0.04645281490788174
score_norm,GLIDE,3,5,0.7399183257842115,0.7134573412528711,0.07417873110400051
score_norm,GLIDE,4,5,0.787336723749134,0.7601532124665287,0.07607754726838456
score_norm,GLIDE,5,5,0.8210638812048108,0.7972014892961822,0.07063895043750085
score_norm,Midjourney,0,5,0.2380423603364929,0.22861935244630413,0.01782204626032789
score_norm,Midjourney,1,5,0.5331001836316549,0.525083277955017,0.01857734541006668
score_norm,Midjourney,2,5,0.6756549613706504,0.6783417650244274,0.009103480462622326
score_norm,Midjourney,3,5,0.7636081928162447,0.7660196606290873,0.01219968656232627
score_norm,Midjourney,4,5,0.8200851343053397,0.8199860114797387,0.014262951121690313
score_norm,Midjourney,5,5,0.8576139631689139,0.8595673657845965,0.014888645787564804
score_norm,SD14,0,5,0.26336154949462187,0.24553731624917832,0.03872565554909181
score_norm,SD14,1,5,0.5182779417563478,0.5088335687342851,0.028997861845121327
score_norm,SD14,2,5,0.6336763150982371,0.6312507850787843,0.023860049462683015
score_norm,SD14,3,5,0.7168657825602474,0.7257459220859849,0.03769468922588643
score_norm,SD14,4,5,0.7779057904692748,0.781743175287254,0.04242555914890178
