held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.7140000000000001,0.61078,0.81482,25,200,0.08,0.01,0.2,0.1
aigc_benchmark_real,BigGAN,0.7268,0.61638,0.8288000000000001,25,200,0.0,0.035,0.16,0.085
aigc_benchmark_real,DALLE2,0.649,0.5426949999999999,0.7458149999999999,25,200,0.04,0.015,0.12,0.06
aigc_benchmark_real,GLIDE,0.7818,0.66318,0.8732599999999999,25,200,0.08,0.015,0.44,0.11
aigc_benchmark_real,Midjourney,0.7062,0.59396,0.810565,25,200,0.0,0.03,0.12,0.065
aigc_benchmark_real,SD14,0.7093999999999999,0.6214,0.80481,25,200,0.0,0.01,0.04,0.08
aigc_benchmark_real,SD15,0.685,0.59117,0.7796,25,200,0.0,0.025,0.24,0.125
aigc_benchmark_real,SDXL,0.3854000000000001,0.283485,0.50643,25,200,0.0,0.03,0.08,0.155
aigc_benchmark_real,VQDM,0.6822,0.561265,0.797535,25,200,0.04,0.02,0.24,0.065
aigc_benchmark_real,Wukong,0.5680000000000001,0.45138,0.675315,25,200,0.04,0.025,0.16,0.1
rrdataset_real,ADM,0.6576000000000001,0.5344,0.7756599999999999,25,100,0.08,0.02,0.24,0.09
rrdataset_real,BigGAN,0.5167999999999999,0.37418999999999997,0.6568599999999999,25,100,0.08,0.04,0.08,0.1
rrdataset_real,DALLE2,0.596,0.47092999999999996,0.7154499999999999,25,100,0.04,0.03,0.16,0.09
rrdataset_real,GLIDE,0.828,0.73053,0.92341,25,100,0.16,0.02,0.52,0.07
rrdataset_real,Midjourney,0.766,0.6465699999999999,0.86903,25,100,0.12,0.04,0.28,0.07
rrdataset_real,SD14,0.8444,0.75857,0.9170299999999999,25,100,0.04,0.03,0.56,0.09
rrdataset_real,SD15,0.7636,0.65276,0.86122,25,100,0.08,0.03,0.4,0.11
rrdataset_real,SDXL,0.5772,0.44354000000000005,0.7166499999999999,25,100,0.04,0.02,0.24,0.05
rrdataset_real,VQDM,0.6904,0.57413,0.79187,25,100,0.2,0.02,0.32,0.09
rrdataset_real,Wukong,0.77,0.66198,0.8634299999999999,25,100,0.08,0.02,0.2,0.07
