held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.7303999999999999,0.6356999999999999,0.807525,25,200,0.08,0.025,0.16,0.075
aigc_benchmark_real,BigGAN,0.6874,0.5712849999999999,0.794335,25,200,0.04,0.02,0.24,0.1
aigc_benchmark_real,DALLE2,0.5504,0.437885,0.649345,25,200,0.0,0.045,0.04,0.075
aigc_benchmark_real,GLIDE,0.6588,0.53795,0.7740149999999999,25,200,0.32,0.085,0.44,0.155
aigc_benchmark_real,Midjourney,0.6774,0.5615,0.7775150000000001,25,200,0.12,0.035,0.28,0.105
aigc_benchmark_real,SD14,0.7405999999999999,0.655685,0.82441,25,200,0.04,0.03,0.12,0.105
aigc_benchmark_real,SD15,0.6546000000000001,0.564215,0.7476,25,200,0.0,0.03,0.16,0.135
aigc_benchmark_real,SDXL,0.4612,0.3588,0.57244,25,200,0.0,0.05,0.04,0.16
aigc_benchmark_real,VQDM,0.6664,0.5411699999999999,0.7731149999999999,25,200,0.16,0.03,0.4,0.165
aigc_benchmark_real,Wukong,0.36660000000000004,0.250435,0.4798199999999998,25,200,0.0,0.04,0.08,0.14
rrdataset_real,ADM,0.6476,0.54537,0.7584199999999999,25,100,0.0,0.04,0.04,0.08
rrdataset_real,BigGAN,0.522,0.39615,0.6364000000000001,25,100,0.0,0.02,0.08,0.09
rrdataset_real,DALLE2,0.5895999999999999,0.46393,0.7071499999999998,25,100,0.0,0.03,0.04,0.07
rrdataset_real,GLIDE,0.8472,0.76299,0.9172,25,100,0.24,0.02,0.44,0.07
rrdataset_real,Midjourney,0.6992,0.58516,0.80661,25,100,0.0,0.03,0.12,0.09
rrdataset_real,SD14,0.8188000000000001,0.7563599999999999,0.8918299999999999,25,100,0.04,0.03,0.28,0.08
rrdataset_real,SD15,0.7572,0.65137,0.8458299999999999,25,100,0.12,0.05,0.24,0.11
rrdataset_real,SDXL,0.4928,0.3712,0.63463,25,100,0.0,0.03,0.04,0.09
rrdataset_real,VQDM,0.6272,0.50535,0.7484799999999999,25,100,0.12,0.03,0.2,0.1
rrdataset_real,Wukong,0.5984,0.47411,0.7217599999999998,25,100,0.0,0.03,0.08,0.04
