held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.7925,0.7575000000000001,0.8275,25,200,1.0,0.415,1.0,0.415
aigc_benchmark_real,BigGAN,0.7925,0.7575000000000001,0.8275,25,200,1.0,0.415,1.0,0.415
aigc_benchmark_real,DALLE2,0.7925,0.7575000000000001,0.8275,25,200,1.0,0.415,1.0,0.415
aigc_benchmark_real,GLIDE,0.7925,0.7575000000000001,0.8275,25,200,1.0,0.415,1.0,0.415
aigc_benchmark_real,Midjourney,0.5575,0.4936875,0.6251249999999999,25,200,0.0,0.415,0.0,0.415
aigc_benchmark_real,SD14,0.5850000000000001,0.515,0.655,25,200,0.0,0.415,1.0,0.415
aigc_benchmark_real,SD15,0.5850000000000001,0.515,0.655,25,200,1.0,0.415,1.0,0.415
aigc_benchmark_real,SDXL,0.5575,0.4936875,0.6251249999999999,25,200,0.0,0.415,0.0,0.415
aigc_benchmark_real,VQDM,0.7925,0.7575000000000001,0.8275,25,200,1.0,0.415,1.0,0.415
aigc_benchmark_real,Wukong,0.5850000000000001,0.515,0.655,25,200,1.0,0.415,1.0,0.415
rrdataset_real,ADM,0.8200000000000001,0.75,0.89,25,100,0.0,0.03,0.0,0.08
rrdataset_real,BigGAN,0.8200000000000001,0.75,0.89,25,100,0.0,0.03,0.0,0.08
rrdataset_real,DALLE2,0.8200000000000001,0.75,0.89,25,100,0.0,0.03,0.0,0.08
rrdataset_real,GLIDE,0.8200000000000001,0.75,0.89,25,100,0.0,0.03,0.0,0.08
rrdataset_real,Midjourney,0.965,0.935,0.99,25,100,0.0,0.01,1.0,0.06
rrdataset_real,SD14,0.875,0.82,0.925,25,100,0.0,0.01,0.0,0.06
rrdataset_real,SD15,0.875,0.82,0.925,25,100,0.0,0.01,0.0,0.07
rrdataset_real,SDXL,0.965,0.935,0.99,25,100,0.0,0.01,1.0,0.06
rrdataset_real,VQDM,0.8200000000000001,0.75,0.89,25,100,0.0,0.03,0.0,0.08
rrdataset_real,Wukong,0.875,0.82,0.925,25,100,0.0,0.01,0.0,0.07
