held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.0,0.0,0.0,25,200,0.0,0.47,0.0,0.475
aigc_benchmark_real,BigGAN,0.7951999999999999,0.724495,0.8643050000000001,25,200,1.0,0.47,1.0,0.47
aigc_benchmark_real,DALLE2,0.7537999999999999,0.6886950000000001,0.821755,25,200,1.0,0.47,1.0,0.47
aigc_benchmark_real,GLIDE,0.6102,0.544,0.67621,25,200,1.0,0.47,1.0,0.47
aigc_benchmark_real,Midjourney,0.5650000000000001,0.501095,0.638515,25,200,1.0,0.47,1.0,0.47
aigc_benchmark_real,SD14,0.585,0.515,0.655,25,200,1.0,0.47,1.0,0.47
aigc_benchmark_real,SD15,0.585,0.515,0.655,25,200,1.0,0.47,1.0,0.47
aigc_benchmark_real,SDXL,0.5674,0.500285,0.63481,25,200,1.0,0.47,1.0,0.47
aigc_benchmark_real,VQDM,0.6843999999999999,0.609,0.755905,25,200,1.0,0.47,1.0,0.47
aigc_benchmark_real,Wukong,0.585,0.515,0.655,25,200,1.0,0.47,1.0,0.47
rrdataset_real,ADM,0.0,0.0,0.0,25,100,0.0,0.0,0.0,0.0
rrdataset_real,BigGAN,0.79,0.71475,0.86,25,100,0.0,0.09,0.0,0.18
rrdataset_real,DALLE2,0.79,0.71475,0.86,25,100,0.0,0.09,0.0,0.18
rrdataset_real,GLIDE,0.79,0.71475,0.86,25,100,0.0,0.09,0.0,0.18
rrdataset_real,Midjourney,0.83,0.76,0.9,25,100,0.0,0.17,1.0,0.17
rrdataset_real,SD14,0.8200000000000001,0.75,0.89,25,100,0.0,0.18,0.0,0.18
rrdataset_real,SD15,0.8200000000000001,0.75,0.89,25,100,0.0,0.18,0.0,0.18
rrdataset_real,SDXL,0.83,0.76,0.9,25,100,0.0,0.17,1.0,0.17
rrdataset_real,VQDM,0.79,0.71475,0.86,25,100,0.0,0.09,0.0,0.18
rrdataset_real,Wukong,0.8200000000000001,0.75,0.89,25,100,0.0,0.18,0.0,0.18
