feature_group,mode,n_features,macro_mean,median,worst,frac_above_0.5
legacy51,raw,44,0.6396900000000001,0.6567000000000001,0.36660000000000004,0.85
legacy51,geometry_residualized,44,0.54125,0.5497,0.2904,0.6
reconstruction_roundtrip,raw,2,0.55472,0.5296000000000001,0.2992,0.6
reconstruction_roundtrip,geometry_residualized,2,0.46193000000000006,0.4912000000000001,0.1712,0.5
trajectory_noise,raw,104,0.61033,0.6264000000000001,0.37820000000000004,0.85
trajectory_noise,geometry_residualized,104,0.5100100000000001,0.5174000000000001,0.2208,0.55
guidance,raw,92,0.67088,0.6669,0.48919999999999997,0.95
guidance,geometry_residualized,92,0.64388,0.6208,0.4898,0.95
latent_endpoint_stats,raw,96,0.59453,0.5796000000000001,0.3712,0.8
latent_endpoint_stats,geometry_residualized,96,0.44196,0.4609,0.1436,0.4
spatial,raw,30,0.66215,0.6702999999999999,0.526,1.0
spatial,geometry_residualized,30,0.44909,0.4371,0.2162,0.35
fft,raw,36,0.52046,0.5122,0.36240000000000006,0.6
fft,geometry_residualized,36,0.39854,0.3932,0.2198,0.2
crosstime,raw,30,0.6068200000000001,0.6206,0.34720000000000006,0.85
crosstime,geometry_residualized,30,0.55092,0.5614,0.27140000000000003,0.6
alignment,raw,120,0.53578,0.5822,0.2744,0.65
alignment,geometry_residualized,120,0.51833,0.5170999999999999,0.3266,0.6
latent_geometry,raw,64,0.5790099999999999,0.5838,0.32120000000000004,0.8
latent_geometry,geometry_residualized,64,0.4761,0.4566,0.2196,0.4
score_moments,raw,78,0.5704100000000001,0.5647,0.257,0.7
score_moments,geometry_residualized,78,0.52751,0.5722,0.22600000000000006,0.6
ALL_v1,raw,652,0.68089,0.6983,0.3854000000000001,0.95
ALL_v1,geometry_residualized,652,0.54978,0.575,0.26460000000000006,0.65
