held_real,held_generator,auroc
aigc_benchmark_real,ADM,0.8443999999999999
aigc_benchmark_real,BigGAN,0.5814
aigc_benchmark_real,DALLE2,0.5092000000000001
aigc_benchmark_real,GLIDE,0.5692
aigc_benchmark_real,Midjourney,0.4718
aigc_benchmark_real,SD14,0.6733999999999999
aigc_benchmark_real,SD15,0.4915999999999999
aigc_benchmark_real,SDXL,0.40819999999999995
aigc_benchmark_real,VQDM,0.37039999999999995
aigc_benchmark_real,Wukong,0.623
rrdataset_real,ADM,0.9288000000000001
rrdataset_real,BigGAN,0.4596
rrdataset_real,DALLE2,0.5028
rrdataset_real,GLIDE,0.8596
rrdataset_real,Midjourney,0.6
rrdataset_real,SD14,0.7484
rrdataset_real,SD15,0.7584
rrdataset_real,SDXL,0.43960000000000005
rrdataset_real,VQDM,0.6676000000000001
rrdataset_real,Wukong,0.7532000000000001
