held_real,held_generator,auroc
aigc_benchmark_real,ADM,0.7140000000000001
aigc_benchmark_real,BigGAN,0.7268
aigc_benchmark_real,DALLE2,0.649
aigc_benchmark_real,GLIDE,0.7818
aigc_benchmark_real,Midjourney,0.7062
aigc_benchmark_real,SD14,0.7093999999999999
aigc_benchmark_real,SD15,0.685
aigc_benchmark_real,SDXL,0.3854000000000001
aigc_benchmark_real,VQDM,0.6822
aigc_benchmark_real,Wukong,0.5680000000000001
rrdataset_real,ADM,0.6576000000000001
rrdataset_real,BigGAN,0.5167999999999999
rrdataset_real,DALLE2,0.596
rrdataset_real,GLIDE,0.828
rrdataset_real,Midjourney,0.766
rrdataset_real,SD14,0.8444
rrdataset_real,SD15,0.7636
rrdataset_real,SDXL,0.5772
rrdataset_real,VQDM,0.6904
rrdataset_real,Wukong,0.77
