image_id,path,label,generator,real_source,width,height,format,bytes,bpp,qtable_mean,min_side,aspect,is_png,is_square,is_pow2_side
aigc_0,data/aigc_stage_a/real/000000.jpg,0,real,aigc_benchmark_real,500,333,jpeg,34624,1.6636156156156157,36.234375,333,1.5015015015015014,0,0,0
aigc_2,data/aigc_stage_a/real/000002.jpg,0,real,aigc_benchmark_real,256,256,jpeg,7999,0.9764404296875,36.234375,256,1.0,0,1,1
aigc_4,data/aigc_stage_a/real/000004.jpg,0,real,aigc_benchmark_real,256,256,jpeg,16404,2.00244140625,36.234375,256,1.0,0,1,1
aigc_6,data/aigc_stage_a/real/000006.jpg,0,real,aigc_benchmark_real,640,480,jpeg,55263,1.439140625,36.234375,480,1.3333333333333333,0,0,0
aigc_8,data/aigc_stage_a/real/000008.jpg,0,real,aigc_benchmark_real,256,256,jpeg,11931,1.4564208984375,36.234375,256,1.0,0,1,1
aigc_10,data/aigc_stage_a/real/000010.jpg,0,real,aigc_benchmark_real,500,334,jpeg,44838,2.147928143712575,36.234375,334,1.4970059880239521,0,0,0
aigc_12,data/aigc_stage_a/real/000012.jpg,0,real,aigc_benchmark_real,500,375,jpeg,27333,1.166208,36.234375,375,1.3333333333333333,0,0,0
aigc_14,data/aigc_stage_a/real/000014.jpg,0,real,aigc_benchmark_real,256,256,jpeg,11248,1.373046875,36.234375,256,1.0,0,1,1
aigc_16,data/aigc_stage_a/real/000016.jpg,0,real,aigc_benchmark_real,500,333,jpeg,15915,0.7646846846846846,36.234375,333,1.5015015015015014,0,0,0
aigc_18,data/aigc_stage_a/real/000018.jpg,0,real,aigc_benchmark_real,500,375,jpeg,30696,1.309696,36.234375,375,1.3333333333333333,0,0,0
aigc_20,data/aigc_stage_a/real/000020.jpg,0,real,aigc_benchmark_real,480,640,jpeg,81823,2.1308072916666667,36.234375,480,0.75,0,0,0
aigc_22,data/aigc_stage_a/real/000022.jpg,0,real,aigc_benchmark_real,256,256,jpeg,6471,0.7899169921875,36.234375,256,1.0,0,1,1
aigc_24,data/aigc_stage_a/real/000024.jpg,0,real,aigc_benchmark_real,256,256,jpeg,12034,1.468994140625,36.234375,256,1.0,0,1,1
aigc_26,data/aigc_stage_a/real/000026.jpg,0,real,aigc_benchmark_real,256,256,jpeg,9730,1.187744140625,36.234375,256,1.0,0,1,1
aigc_28,data/aigc_stage_a/real/000028.jpg,0,real,aigc_benchmark_real,500,375,jpeg,20623,0.8799146666666666,36.234375,375,1.3333333333333333,0,0,0
aigc_30,data/aigc_stage_a/real/000030.jpg,0,real,aigc_benchmark_real,1024,1024,jpeg,113308,0.864471435546875,36.234375,1024,1.0,0,1,1
aigc_32,data/aigc_stage_a/real/000032.jpg,0,real,aigc_benchmark_real,500,375,jpeg,39472,1.6841386666666667,36.234375,375,1.3333333333333333,0,0,0
aigc_34,data/aigc_stage_a/real/000034.jpg,0,real,aigc_benchmark_real,500,375,jpeg,18861,0.804736,36.234375,375,1.3333333333333333,0,0,0
aigc_36,data/aigc_stage_a/real/000036.jpg,0,real,aigc_benchmark_real,256,256,jpeg,13305,1.6241455078125,36.234375,256,1.0,0,1,1
aigc_38,data/aigc_stage_a/real/000038.jpg,0,real,aigc_benchmark_real,256,256,jpeg,18635,2.2747802734375,36.234375,256,1.0,0,1,1
aigc_40,data/aigc_stage_a/real/000040.jpg,0,real,aigc_benchmark_real,640,472,jpeg,78586,2.081197033898305,36.234375,472,1.3559322033898304,0,0,0
aigc_42,data/aigc_stage_a/real/000042.jpg,0,real,aigc_benchmark_real,256,256,jpeg,17654,2.155029296875,36.234375,256,1.0,0,1,1
aigc_44,data/aigc_stage_a/real/000044.jpg,0,real,aigc_benchmark_real,500,400,jpeg,53525,2.141,36.234375,400,1.25,0,0,0
aigc_46,data/aigc_stage_a/real/000046.jpg,0,real,aigc_benchmark_real,500,334,jpeg,41620,1.9937724550898204,36.234375,334,1.4970059880239521,0,0,0
aigc_48,data/aigc_stage_a/real/000048.jpg,0,real,aigc_benchmark_real,256,256,jpeg,9078,1.108154296875,36.234375,256,1.0,0,1,1
aigc_50,data/aigc_stage_a/real/000050.jpg,0,real,aigc_benchmark_real,500,332,jpeg,36899,1.7782650602409638,36.234375,332,1.5060240963855422,0,0,0
