seed,feature_set,held_generator,auroc
0,ALL_v1(652),ADM,0.6639999999999999
0,ALL_v1(652),BigGAN,0.608
0,ALL_v1(652),DALLE2,0.734
0,ALL_v1(652),GLIDE,0.854
0,ALL_v1(652),Midjourney,0.838
0,ALL_v1(652),SD14,0.894
0,ALL_v1(652),SD15,0.832
0,ALL_v1(652),SDXL,0.6839999999999999
0,ALL_v1(652),VQDM,0.706
0,ALL_v1(652),Wukong,0.758
0,legacy51,ADM,0.708
0,legacy51,BigGAN,0.6
0,legacy51,DALLE2,0.588
0,legacy51,GLIDE,0.9359999999999999
0,legacy51,Midjourney,0.728
0,legacy51,SD14,0.8420000000000001
0,legacy51,SD15,0.762
0,legacy51,SDXL,0.5519999999999999
0,legacy51,VQDM,0.66
0,legacy51,Wukong,0.5640000000000001
0,metadata_geometry(4),ADM,0.75
0,metadata_geometry(4),BigGAN,0.7
0,metadata_geometry(4),DALLE2,0.825
0,metadata_geometry(4),GLIDE,0.6
0,metadata_geometry(4),Midjourney,0.9750000000000001
0,metadata_geometry(4),SD14,0.9
0,metadata_geometry(4),SD15,0.95
0,metadata_geometry(4),SDXL,1.0
0,metadata_geometry(4),VQDM,0.725
0,metadata_geometry(4),Wukong,1.0
0,metadata_all(7),ADM,0.0
0,metadata_all(7),BigGAN,0.722
0,metadata_all(7),DALLE2,0.782
0,metadata_all(7),GLIDE,0.38799999999999996
0,metadata_all(7),Midjourney,0.982
0,metadata_all(7),SD14,0.9
0,metadata_all(7),SD15,0.95
0,metadata_all(7),SDXL,1.0
0,metadata_all(7),VQDM,0.598
0,metadata_all(7),Wukong,1.0
0,bpp_only(1),ADM,0.0
0,bpp_only(1),BigGAN,0.482
0,bpp_only(1),DALLE2,0.44200000000000006
0,bpp_only(1),GLIDE,0.12
0,bpp_only(1),Midjourney,0.154
0,bpp_only(1),SD14,0.27999999999999997
0,bpp_only(1),SD15,0.392
0,bpp_only(1),SDXL,0.132
0,bpp_only(1),VQDM,0.212
0,bpp_only(1),Wukong,0.63
0,is_square_only(1),ADM,0.75
0,is_square_only(1),BigGAN,0.7
0,is_square_only(1),DALLE2,0.85
0,is_square_only(1),GLIDE,0.675
0,is_square_only(1),Midjourney,0.8
0,is_square_only(1),SD14,0.8
0,is_square_only(1),SD15,0.725
0,is_square_only(1),SDXL,0.85
0,is_square_only(1),VQDM,0.75
0,is_square_only(1),Wukong,0.675
1,ALL_v1(652),ADM,0.856
1,ALL_v1(652),BigGAN,0.5820000000000001
1,ALL_v1(652),DALLE2,0.616
1,ALL_v1(652),GLIDE,0.88
1,ALL_v1(652),Midjourney,0.8180000000000001
1,ALL_v1(652),SD14,0.928
1,ALL_v1(652),SD15,0.836
1,ALL_v1(652),SDXL,0.504
1,ALL_v1(652),VQDM,0.684
1,ALL_v1(652),Wukong,0.9
1,legacy51,ADM,0.744
1,legacy51,BigGAN,0.512
