feature_set,held_generator,auroc_mean_over_real_folds,auroc_min_fold,n_fake,n_real_total
ALL_v1,BigGAN,0.5212941176470589,0.33176470588235296,25,83
ALL_v1,DALLE2,0.4838529411764706,0.40750000000000003,25,83
ALL_v1,GLIDE,0.8835882352941177,0.8611764705882354,25,83
ALL_v1,VQDM,0.6940882352941177,0.6475,25,83
legacy51,BigGAN,0.5293235294117646,0.4517647058823529,25,83
legacy51,DALLE2,0.48311764705882354,0.3905882352941177,25,83
legacy51,GLIDE,0.9225294117647058,0.8564705882352941,25,83
legacy51,VQDM,0.7189705882352941,0.6635294117647059,25,83
rich608,BigGAN,0.5192058823529411,0.33176470588235296,25,83
rich608,DALLE2,0.4817647058823528,0.4075,25,83
rich608,GLIDE,0.8811176470588237,0.8611764705882352,25,83
rich608,VQDM,0.7143235294117647,0.6625000000000001,25,83
bpp_only(file-size shortcut),BigGAN,0.49282352941176466,0.42,25,83
bpp_only(file-size shortcut),DALLE2,0.5921176470588236,0.455,25,83
bpp_only(file-size shortcut),GLIDE,0.9389705882352942,0.8925000000000001,25,83
bpp_only(file-size shortcut),VQDM,0.7598235294117648,0.6775,25,83
