feature_set,kind,n_features,C,auroc_mean,auroc_sd_over_reps
ALL_v1,all,652,0.01,0.76364,0.009041758678487251
ALL_v1,all,652,0.1,0.7578099999999999,0.009953612409572743
legacy51,coarse,44,0.01,0.7186100000000001,0.004719788130838048
legacy51,coarse,44,0.1,0.7508999999999999,0.009312357381458292
rich608,coarse,608,0.01,0.7621100000000001,0.008720172016651939
rich608,coarse,608,0.1,0.75349,0.008244355644924577
legacy51,coarse,44,0.01,0.7186100000000001,0.004719788130838048
legacy51,coarse,44,0.1,0.7508999999999999,0.009312357381458292
reconstruction_roundtrip,coarse,2,0.01,0.57158,0.008979454326405375
reconstruction_roundtrip,coarse,2,0.1,0.56919,0.01037209718427282
trajectory_noise,coarse,104,0.01,0.6587900000000001,0.011275034368018586
trajectory_noise,coarse,104,0.1,0.64689,0.007973042079407341
guidance,coarse,92,0.01,0.54434,0.015558643899774781
guidance,coarse,92,0.1,0.55592,0.016601283082942696
latent_endpoint_stats,coarse,96,0.01,0.7364999999999999,0.005830180100134116
latent_endpoint_stats,coarse,96,0.1,0.7465300000000001,0.009541939006302675
spatial,coarse,30,0.01,0.6741300000000001,0.011393182171807842
spatial,coarse,30,0.1,0.6989500000000001,0.009559864015769219
fft,coarse,36,0.01,0.6413200000000001,0.011443452276301972
fft,coarse,36,0.1,0.6556200000000001,0.01417566929636833
crosstime,coarse,30,0.01,0.6494899999999999,0.012532015001586957
crosstime,coarse,30,0.1,0.66204,0.015481550309965708
alignment,coarse,120,0.01,0.6278900000000001,0.008836764113633407
alignment,coarse,120,0.1,0.64208,0.006603832220763924
latent_geometry,coarse,64,0.01,0.65771,0.009546800511166043
latent_geometry,coarse,64,0.1,0.66667,0.013790271933504447
score_moments,coarse,78,0.01,0.74938,0.005103880876352823
score_moments,coarse,78,0.1,0.73984,0.004649666654718358
endpoint,family,6,0.01,0.71689,0.007054955705034572
endpoint,family,6,0.1,0.73347,0.00784987897995882
legacy_geometry,family,4,0.01,0.62347,0.002190570701894844
legacy_geometry,family,4,0.1,0.6306299999999999,0.0016931036589647775
legacy_guidance,family,14,0.01,0.52215,0.02938979414694835
legacy_guidance,family,14,0.1,0.5616700000000001,0.02005521378594601
legacy_noise,family,18,0.01,0.62644,0.009456288912676053
legacy_noise,family,18,0.1,0.6659499999999999,0.009467893113042601
rich_alignment,family,120,0.01,0.6278900000000001,0.008836764113633407
rich_alignment,family,120,0.1,0.64208,0.006603832220763924
rich_crosstime,family,30,0.01,0.6494899999999999,0.012532015001586957
rich_crosstime,family,30,0.1,0.66204,0.015481550309965708
rich_guidance_moments,family,78,0.01,0.53713,0.015570825283201917
rich_guidance_moments,family,78,0.1,0.53758,0.01757326378337272
rich_latent_geometry,family,60,0.01,0.6575300000000001,0.009940402406341513
rich_latent_geometry,family,60,0.1,0.66764,0.013853136828891829
rich_latent_typicality,family,90,0.01,0.73428,0.0051577708363206715
rich_latent_typicality,family,90,0.1,0.74398,0.008830662489303942
rich_score_dynamics,family,86,0.01,0.6596,0.01156957216149328
rich_score_dynamics,family,86,0.1,0.64822,0.008088176555936435
rich_score_fft,family,36,0.01,0.6413200000000001,0.011443452276301972
rich_score_fft,family,36,0.1,0.6556200000000001,0.01417566929636833
rich_score_moments,family,78,0.01,0.74938,0.005103880876352823
rich_score_moments,family,78,0.1,0.73984,0.004649666654718358
rich_score_spatial,family,30,0.01,0.6741300000000001,0.011393182171807842
rich_score_spatial,family,30,0.1,0.6989500000000001,0.009559864015769219
roundtrip,family,2,0.01,0.57158,0.008979454326405375
roundtrip,family,2,0.1,0.56919,0.01037209718427282
metadata_only,metadata,7,0.01,0.94174,0.003545334963018288
metadata_only,metadata,7,0.1,0.9702200000000001,0.0027054759285567685
metadata_no_qtable,metadata,6,0.01,0.87324,0.0015124152868838728
metadata_no_qtable,metadata,6,0.1,0.9306599999999999,0.001313544822227217
"metadata_geometry_only(min_side,aspect,is_square,is_pow2)",metadata,4,0.01,0.864045,0.001989497423974226
"metadata_geometry_only(min_side,aspect,is_square,is_pow2)",metadata,4,0.1,0.9024150000000001,0.003246444208668916
