family,median_abs_d,max_abs_d,frac_gt_0p5,n
legacy_noise,0.36810187848473236,0.5555168355369842,0.1111111111111111,18
rich_score_moments,0.3602433386003405,0.7417289461320908,0.23076923076923078,78
legacy_geometry,0.3511991762325273,0.35532745663264204,0.0,4
rich_latent_typicality,0.3409369276283444,0.7900672075711969,0.2111111111111111,90
endpoint,0.3273693694944153,0.5672759782440013,0.16666666666666666,6
rich_score_dynamics,0.24455420095307723,0.6355708305645402,0.10465116279069768,86
roundtrip,0.23984679945781728,0.2599471322546798,0.0,2
rich_crosstime,0.217674214382197,0.4235372027589657,0.0,30
rich_score_fft,0.15624184653128081,0.45001719270792484,0.0,36
rich_score_spatial,0.12026839633332145,0.6251610794633706,0.03333333333333333,30
rich_alignment,0.11637030838002094,0.4945627214515992,0.0,120
rich_latent_geometry,0.10235794148770108,0.5596399802520413,0.03333333333333333,60
rich_guidance_moments,0.06845651001540479,0.2786278724805897,0.0,78
legacy_guidance,0.04612354874084275,0.20430548943554858,0.0,14
