split,cls,cat,fmt,w,h,bytes
train,real,real,JPEG,512,512,75756
train,real,real,JPEG,1024,678,365308
train,real,real,JPEG,640,640,92195
train,real,real,JPEG,1024,683,73861
train,real,real,JPEG,512,512,100242
train,real,real,JPEG,1440,960,209292
train,real,real,JPEG,1024,692,149997
train,real,real,JPEG,1024,682,209586
train,real,real,JPEG,1080,1080,129734
train,real,real,JPEG,512,512,115606
train,real,real,JPEG,1080,1075,131654
train,real,real,JPEG,1440,960,143348
train,real,real,JPEG,1080,810,153079
train,real,real,JPEG,799,1000,218637
train,real,real,JPEG,1440,960,160854
train,real,real,JPEG,640,640,69596
train,real,real,JPEG,1440,962,273235
train,real,real,JPEG,1500,971,883367
train,real,real,JPEG,1024,678,409256
train,real,real,JPEG,500,750,40558
train,real,real,JPEG,5127,3426,4775084
train,real,real,JPEG,1056,704,217405
train,real,real,JPEG,1024,683,196754
train,real,real,JPEG,1440,960,159750
train,real,real,JPEG,1024,683,122702
train,real,real,JPEG,512,512,63138
train,real,real,JPEG,1440,960,161516
train,real,real,JPEG,1080,1080,515625
train,real,real,JPEG,1024,678,211245
train,real,real,JPEG,1440,962,71821
train,real,real,JPEG,939,704,120061
train,real,real,JPEG,745,1024,166494
train,real,real,JPEG,2048,1365,611895
train,real,real,JPEG,1024,683,276344
train,real,real,JPEG,939,704,186754
train,real,real,JPEG,1024,683,317959
train,real,real,JPEG,1080,1080,53754
train,real,real,JPEG,500,333,26108
train,real,real,JPEG,512,512,79854
train,real,real,JPEG,1024,960,223093
train,real,real,JPEG,1500,1000,599670
train,real,real,JPEG,512,512,86303
train,real,real,JPEG,1440,1003,165136
train,real,real,JPEG,512,512,50368
train,real,real,JPEG,900,900,46226
train,real,real,JPEG,1440,960,157907
train,real,real,JPEG,512,512,116232
train,real,real,JPEG,1080,1080,191468
train,real,real,JPEG,1080,817,84733
train,real,real,JPEG,1024,683,257935
train,real,real,JPEG,1440,959,226166
train,real,real,JPEG,1920,2881,1380674
train,real,real,JPEG,1000,667,658040
train,real,real,JPEG,1056,704,142154
train,real,real,JPEG,1440,984,129193
train,real,real,JPEG,2000,1333,1525928
train,real,real,JPEG,1024,683,176512
train,real,real,JPEG,1024,683,267938
train,real,real,JPEG,500,595,70826
train,real,real,JPEG,1200,799,86690
train,real,real,JPEG,500,183,13446
train,real,real,JPEG,1024,683,246254
train,real,real,JPEG,891,891,111570
train,real,real,JPEG,640,640,58628
train,real,real,JPEG,1440,960,110133
train,real,real,JPEG,739,1024,212396
train,real,real,JPEG,1440,961,127902
train,real,real,JPEG,512,512,113775
train,real,real,JPEG,4961,4961,299671
train,real,real,JPEG,1126,1690,1011865
train,real,real,JPEG,1080,720,93240
train,real,real,JPEG,512,512,105785
train,real,real,JPEG,1440,959,126011
train,real,real,JPEG,1024,683,240992
train,real,real,JPEG,1024,683,115812
train,real,real,JPEG,1024,683,158932
train,real,real,JPEG,2048,1365,985260
train,real,real,JPEG,640,640,63352
train,real,real,JPEG,1500,1000,1277464
train,real,real,JPEG,832,704,155101
train,real,real,JPEG,1024,682,183415
train,real,real,JPEG,1024,683,314556
train,real,real,JPEG,1024,683,129735
train,real,real,JPEG,1024,683,214026
train,real,real,JPEG,1440,960,139785
train,real,real,JPEG,1770,1180,596470
train,real,real,JPEG,512,512,85629
train,real,real,JPEG,1024,683,839061
train,real,real,JPEG,1440,960,313147
train,real,real,JPEG,1024,682,164765
train,real,real,JPEG,1440,987,207821
train,real,real,JPEG,1024,683,110253
train,real,real,JPEG,799,1000,172860
train,real,real,JPEG,1440,1440,272321
train,real,real,JPEG,1080,955,45636
train,real,real,JPEG,2048,1360,664254
train,real,real,JPEG,800,533,34263
train,real,real,JPEG,1024,683,164767
train,real,real,JPEG,1080,1080,111736
train,real,real,JPEG,1080,779,84153
train,real,real,JPEG,512,512,124272
train,real,real,JPEG,1000,1500,446670
train,real,real,JPEG,2048,1365,1274522
train,real,real,JPEG,1600,1065,39227
train,real,real,JPEG,1024,683,324232
train,real,real,JPEG,512,512,76773
train,real,real,JPEG,1440,959,56364
train,real,real,JPEG,1080,1349,175549
train,real,real,JPEG,683,1024,286124
train,real,real,JPEG,1024,683,184941
train,real,real,JPEG,500,333,8782
train,real,real,JPEG,1000,1500,497627
train,real,real,JPEG,512,512,113231
train,real,real,JPEG,512,512,89563
train,real,real,JPEG,640,640,59804
train,real,real,JPEG,1440,962,148518
train,real,real,JPEG,1159,1500,686525
train,real,real,JPEG,640,640,150825
train,real,real,JPEG,1440,960,127447
train,real,real,JPEG,1440,979,237184
train,real,real,JPEG,1488,1500,1051253
train,real,real,JPEG,1024,683,213547
train,real,real,JPEG,1024,683,440830
train,real,real,JPEG,512,512,133089
train,real,real,JPEG,512,512,141417
train,real,real,JPEG,512,512,90727
train,real,real,JPEG,1056,704,346398
train,real,real,JPEG,512,512,122245
train,real,real,JPEG,1440,959,225589
