src,n,fmt,min_side_med,min_side_range,square,pow2,qtab,bpp_med,label
aigc_benchmark_real,200,jpeg,346.0,256-1024,0.48,0.47,36.2,1.46,0
rrdataset_real,100,jpeg,693.5,281-5184,0.23,0.14,20.07,2.16,0
ADM,25,png,256.0,256-256,1.0,1.0,,17.81,1
BigGAN,25,jpeg,256.0,256-256,1.0,1.0,36.23,1.5,1
DALLE2,25,jpeg,256.0,256-256,1.0,1.0,36.23,1.27,1
GLIDE,25,jpeg,256.0,256-256,1.0,1.0,36.23,0.67,1
VQDM,25,jpeg,256.0,256-256,1.0,1.0,36.23,0.73,1
SD14,25,jpeg,512.0,512-512,1.0,1.0,36.23,1.16,1
SD15,25,jpeg,512.0,512-512,1.0,1.0,36.23,1.27,1
Wukong,25,jpeg,512.0,512-512,1.0,1.0,36.23,1.7,1
Midjourney,25,jpeg,1024.0,1024-1024,1.0,1.0,36.23,0.87,1
SDXL,25,jpeg,1024.0,1024-1024,1.0,1.0,36.23,0.93,1
