held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.66,0.4859,0.8261,10,50,0.1,0.02,0.3,0.16
aigc_benchmark_real,BigGAN,0.63,0.38485,0.8224999999999996,10,50,0.0,0.02,0.4,0.2
aigc_benchmark_real,DALLE2,0.59,0.42685,0.756,10,50,0.0,0.02,0.3,0.22
aigc_benchmark_real,GLIDE,0.928,0.8329500000000001,0.9880000000000001,10,50,0.4,0.02,0.9,0.16
aigc_benchmark_real,Midjourney,0.762,0.634,0.876,10,50,0.0,0.02,0.1,0.12
aigc_benchmark_real,SD14,0.59,0.3999,0.7613499999999996,10,50,0.0,0.02,0.4,0.18
aigc_benchmark_real,SD15,0.602,0.42895,0.7420999999999999,10,50,0.0,0.02,0.1,0.24
aigc_benchmark_real,SDXL,0.482,0.3439,0.6343999999999996,10,50,0.0,0.0,0.1,0.14
aigc_benchmark_real,VQDM,0.65,0.44894999999999996,0.85305,10,50,0.1,0.02,0.6,0.22
aigc_benchmark_real,Wukong,0.41600000000000004,0.238,0.5790500000000001,10,50,0.0,0.06,0.1,0.28
rrdataset_real,ADM,0.526,0.32894999999999996,0.7071499999999998,10,50,0.1,0.16,0.2,0.22
rrdataset_real,BigGAN,0.59,0.40085,0.7491499999999999,10,50,0.1,0.08,0.2,0.14
rrdataset_real,DALLE2,0.41000000000000003,0.22294999999999998,0.5913499999999997,10,50,0.0,0.1,0.1,0.2
rrdataset_real,GLIDE,0.804,0.64495,0.9159999999999999,10,50,0.3,0.06,0.4,0.16
rrdataset_real,Midjourney,0.618,0.414,0.8291499999999998,10,50,0.1,0.06,0.3,0.2
rrdataset_real,SD14,0.834,0.726,0.9260999999999999,10,50,0.1,0.06,0.2,0.16
rrdataset_real,SD15,0.798,0.6319,0.9280999999999999,10,50,0.1,0.06,0.6,0.14
rrdataset_real,SDXL,0.6739999999999999,0.50485,0.8180999999999999,10,50,0.0,0.06,0.4,0.16
rrdataset_real,VQDM,0.78,0.642,0.894,10,50,0.1,0.06,0.3,0.12
rrdataset_real,Wukong,0.752,0.5997,0.8893499999999996,10,50,0.2,0.06,0.2,0.12
