held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.6679999999999999,0.50885,0.8200000000000001,10,50,0.0,0.02,0.0,0.04
aigc_benchmark_real,BigGAN,0.514,0.30695,0.70505,10,50,0.0,0.02,0.0,0.02
aigc_benchmark_real,DALLE2,0.498,0.31999999999999995,0.66305,10,50,0.0,0.0,0.0,0.02
aigc_benchmark_real,GLIDE,0.852,0.6839999999999999,0.95505,10,50,0.0,0.02,0.4,0.04
aigc_benchmark_real,Midjourney,0.8140000000000001,0.70295,0.90705,10,50,0.0,0.0,0.0,0.04
aigc_benchmark_real,SD14,0.67,0.50695,0.8180000000000001,10,50,0.0,0.02,0.1,0.06
aigc_benchmark_real,SD15,0.6619999999999999,0.4739,0.812,10,50,0.0,0.0,0.1,0.04
aigc_benchmark_real,SDXL,0.616,0.42695000000000005,0.81,10,50,0.1,0.02,0.2,0.02
aigc_benchmark_real,VQDM,0.626,0.40865,0.7840999999999999,10,50,0.2,0.0,0.3,0.0
aigc_benchmark_real,Wukong,0.634,0.49,0.8290500000000001,10,50,0.1,0.02,0.1,0.06
rrdataset_real,ADM,0.6479999999999999,0.4579,0.816,10,50,0.1,0.02,0.1,0.02
rrdataset_real,BigGAN,0.5459999999999999,0.33494999999999997,0.7200999999999999,10,50,0.0,0.02,0.0,0.02
rrdataset_real,DALLE2,0.482,0.32075,0.6360999999999999,10,50,0.0,0.04,0.0,0.04
rrdataset_real,GLIDE,0.8059999999999999,0.62095,0.9400000000000001,10,50,0.1,0.02,0.2,0.04
rrdataset_real,Midjourney,0.728,0.5778,0.88105,10,50,0.1,0.02,0.1,0.02
rrdataset_real,SD14,0.748,0.5917,0.88505,10,50,0.0,0.04,0.0,0.04
rrdataset_real,SD15,0.74,0.61095,0.854,10,50,0.0,0.0,0.0,0.04
rrdataset_real,SDXL,0.5900000000000001,0.3659,0.8070499999999999,10,50,0.2,0.04,0.2,0.06
rrdataset_real,VQDM,0.7740000000000001,0.6079,0.9,10,50,0.1,0.02,0.1,0.04
rrdataset_real,Wukong,0.6819999999999999,0.5177,0.8480999999999999,10,50,0.1,0.02,0.1,0.04
