held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.704,0.5239,0.87705,10,50,0.1,0.0,0.4,0.1
aigc_benchmark_real,BigGAN,0.662,0.46895,0.8491499999999998,10,50,0.2,0.02,0.3,0.1
aigc_benchmark_real,DALLE2,0.472,0.3177,0.64305,10,50,0.0,0.0,0.0,0.1
aigc_benchmark_real,GLIDE,0.9259999999999999,0.846,0.982,10,50,0.4,0.0,0.6,0.1
aigc_benchmark_real,Midjourney,0.5519999999999999,0.36485,0.74,10,50,0.1,0.02,0.1,0.12
aigc_benchmark_real,SD14,0.488,0.32599999999999996,0.64705,10,50,0.0,0.02,0.1,0.12
aigc_benchmark_real,SD15,0.518,0.32085,0.6940999999999999,10,50,0.1,0.02,0.1,0.08
aigc_benchmark_real,SDXL,0.29400000000000004,0.1579,0.44,10,50,0.0,0.1,0.0,0.22
aigc_benchmark_real,VQDM,0.724,0.5437,0.8831499999999998,10,50,0.3,0.02,0.4,0.08
aigc_benchmark_real,Wukong,0.272,0.1599,0.40904999999999997,10,50,0.0,0.04,0.0,0.1
rrdataset_real,ADM,0.37,0.18695,0.5522999999999998,10,50,0.0,0.18,0.1,0.2
rrdataset_real,BigGAN,0.7100000000000001,0.51095,0.85305,10,50,0.2,0.1,0.3,0.2
rrdataset_real,DALLE2,0.23800000000000002,0.11894999999999999,0.3781999999999998,10,50,0.0,0.1,0.0,0.18
rrdataset_real,GLIDE,0.7940000000000002,0.64095,0.9330499999999999,10,50,0.6,0.12,0.6,0.12
rrdataset_real,Midjourney,0.49799999999999994,0.29780000000000006,0.6900999999999999,10,50,0.2,0.1,0.3,0.16
rrdataset_real,SD14,0.542,0.32285,0.7340999999999999,10,50,0.2,0.06,0.3,0.16
rrdataset_real,SD15,0.6360000000000001,0.45570000000000005,0.8060999999999999,10,50,0.1,0.1,0.2,0.18
rrdataset_real,SDXL,0.24600000000000002,0.10400000000000001,0.41905,10,50,0.0,0.08,0.1,0.2
rrdataset_real,VQDM,0.538,0.33799999999999997,0.7380999999999999,10,50,0.2,0.08,0.2,0.18
rrdataset_real,Wukong,0.6000000000000001,0.47085,0.7080000000000001,10,50,0.0,0.06,0.0,0.14
