held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.766,0.6196,0.8940999999999999,10,50,0.3,0.1,0.4,0.16
aigc_benchmark_real,BigGAN,0.524,0.29095,0.7351499999999999,10,50,0.0,0.08,0.1,0.12
aigc_benchmark_real,DALLE2,0.44999999999999996,0.27075000000000005,0.622,10,50,0.0,0.08,0.0,0.14
aigc_benchmark_real,GLIDE,0.8,0.5686500000000001,0.9780999999999999,10,50,0.5,0.12,0.7,0.16
aigc_benchmark_real,Midjourney,0.736,0.5505500000000001,0.8760999999999999,10,50,0.4,0.12,0.4,0.14
aigc_benchmark_real,SD14,0.718,0.5429499999999999,0.84515,10,50,0.0,0.1,0.0,0.12
aigc_benchmark_real,SD15,0.738,0.5667500000000001,0.8700000000000001,10,50,0.3,0.1,0.6,0.22
aigc_benchmark_real,SDXL,0.588,0.414,0.73905,10,50,0.2,0.14,0.2,0.14
aigc_benchmark_real,VQDM,0.666,0.476,0.84105,10,50,0.5,0.1,0.5,0.14
aigc_benchmark_real,Wukong,0.242,0.13095,0.372,10,50,0.0,0.12,0.0,0.18
rrdataset_real,ADM,0.496,0.32589999999999997,0.6631499999999999,10,50,0.1,0.16,0.2,0.22
rrdataset_real,BigGAN,0.616,0.42485,0.7790499999999999,10,50,0.1,0.02,0.3,0.22
rrdataset_real,DALLE2,0.286,0.16095,0.4420999999999999,10,50,0.0,0.06,0.0,0.18
rrdataset_real,GLIDE,0.6839999999999999,0.4879,0.846,10,50,0.3,0.06,0.4,0.14
rrdataset_real,Midjourney,0.676,0.508,0.8300999999999998,10,50,0.2,0.12,0.2,0.22
rrdataset_real,SD14,0.768,0.63085,0.89,10,50,0.2,0.08,0.5,0.18
rrdataset_real,SD15,0.854,0.7489499999999999,0.938,10,50,0.5,0.08,0.6,0.2
rrdataset_real,SDXL,0.544,0.32694999999999996,0.73905,10,50,0.1,0.04,0.1,0.2
rrdataset_real,VQDM,0.746,0.618,0.86305,10,50,0.3,0.14,0.5,0.18
rrdataset_real,Wukong,0.554,0.39685000000000004,0.7331499999999999,10,50,0.1,0.06,0.2,0.1
