held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.7839999999999999,0.6575000000000001,0.8900999999999999,10,50,0.0,0.0,0.2,0.02
aigc_benchmark_real,BigGAN,0.538,0.3259,0.7381999999999999,10,50,0.0,0.0,0.0,0.0
aigc_benchmark_real,DALLE2,0.45,0.27695000000000003,0.6353499999999996,10,50,0.0,0.0,0.1,0.08
aigc_benchmark_real,GLIDE,0.724,0.5358,0.8840000000000001,10,50,0.0,0.0,0.1,0.02
aigc_benchmark_real,Midjourney,0.726,0.5558,0.8901999999999998,10,50,0.1,0.0,0.2,0.0
aigc_benchmark_real,SD14,0.5640000000000001,0.40275,0.7220999999999999,10,50,0.0,0.0,0.0,0.0
aigc_benchmark_real,SD15,0.594,0.38045,0.766,10,50,0.1,0.0,0.1,0.04
aigc_benchmark_real,SDXL,0.46799999999999997,0.30989999999999995,0.6395499999999995,10,50,0.0,0.0,0.0,0.0
aigc_benchmark_real,VQDM,0.5780000000000001,0.37075,0.78,10,50,0.0,0.0,0.2,0.0
aigc_benchmark_real,Wukong,0.398,0.23085,0.5641999999999998,10,50,0.0,0.02,0.2,0.22
rrdataset_real,ADM,0.562,0.39294999999999997,0.7092499999999998,10,50,0.0,0.02,0.1,0.1
rrdataset_real,BigGAN,0.586,0.36095,0.768,10,50,0.1,0.04,0.2,0.08
rrdataset_real,DALLE2,0.328,0.15694999999999998,0.48714999999999986,10,50,0.0,0.04,0.0,0.12
rrdataset_real,GLIDE,0.6920000000000001,0.548,0.8420000000000001,10,50,0.1,0.02,0.3,0.1
rrdataset_real,Midjourney,0.646,0.48685,0.8101999999999999,10,50,0.1,0.02,0.1,0.08
rrdataset_real,SD14,0.74,0.58295,0.8900000000000001,10,50,0.3,0.04,0.4,0.08
rrdataset_real,SD15,0.704,0.5279,0.8882999999999998,10,50,0.2,0.04,0.3,0.12
rrdataset_real,SDXL,0.62,0.42695,0.8030499999999999,10,50,0.3,0.1,0.3,0.14
rrdataset_real,VQDM,0.562,0.3458,0.76505,10,50,0.2,0.02,0.3,0.1
rrdataset_real,Wukong,0.656,0.51295,0.8110499999999999,10,50,0.2,0.02,0.2,0.04
