held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.7000000000000001,0.49885,0.8640000000000001,10,50,0.0,0.0,0.2,0.0
aigc_benchmark_real,BigGAN,0.544,0.332,0.7321999999999999,10,50,0.0,0.0,0.0,0.04
aigc_benchmark_real,DALLE2,0.592,0.44399999999999995,0.74705,10,50,0.0,0.0,0.0,0.0
aigc_benchmark_real,GLIDE,0.728,0.56695,0.86905,10,50,0.0,0.0,0.2,0.02
aigc_benchmark_real,Midjourney,0.772,0.54855,0.926,10,50,0.0,0.0,0.2,0.0
aigc_benchmark_real,SD14,0.87,0.7349499999999999,0.9720000000000001,10,50,0.0,0.0,0.1,0.02
aigc_benchmark_real,SD15,0.8080000000000002,0.62885,0.9430499999999999,10,50,0.0,0.0,0.1,0.04
aigc_benchmark_real,SDXL,0.46799999999999997,0.2938,0.6242999999999997,10,50,0.0,0.0,0.0,0.02
aigc_benchmark_real,VQDM,0.794,0.6538999999999999,0.9190499999999999,10,50,0.0,0.0,0.2,0.02
aigc_benchmark_real,Wukong,0.6880000000000001,0.49979999999999997,0.8461999999999998,10,50,0.0,0.0,0.1,0.06
rrdataset_real,ADM,0.69,0.5348499999999999,0.85,10,50,0.0,0.0,0.1,0.06
rrdataset_real,BigGAN,0.684,0.48894999999999994,0.8561,10,50,0.0,0.0,0.1,0.04
rrdataset_real,DALLE2,0.594,0.4159,0.7710499999999999,10,50,0.0,0.0,0.0,0.04
rrdataset_real,GLIDE,0.73,0.5449499999999999,0.916,10,50,0.1,0.0,0.1,0.02
rrdataset_real,Midjourney,0.738,0.53285,0.9160999999999999,10,50,0.1,0.02,0.3,0.04
rrdataset_real,SD14,0.768,0.6119,0.91505,10,50,0.0,0.0,0.0,0.02
rrdataset_real,SD15,0.796,0.64495,0.922,10,50,0.0,0.0,0.2,0.04
rrdataset_real,SDXL,0.694,0.50275,0.866,10,50,0.0,0.0,0.1,0.0
rrdataset_real,VQDM,0.844,0.732,0.9491499999999999,10,50,0.2,0.0,0.2,0.02
rrdataset_real,Wukong,0.778,0.6498,0.9079999999999999,10,50,0.0,0.0,0.1,0.04
