held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.648,0.478,0.8131499999999997,10,50,0.1,0.0,0.2,0.14
aigc_benchmark_real,BigGAN,0.52,0.318,0.7291499999999997,10,50,0.0,0.0,0.1,0.02
aigc_benchmark_real,DALLE2,0.344,0.21485,0.4840999999999999,10,50,0.0,0.02,0.0,0.1
aigc_benchmark_real,GLIDE,0.6,0.42495,0.77505,10,50,0.1,0.02,0.1,0.04
aigc_benchmark_real,Midjourney,0.584,0.39675,0.74515,10,50,0.0,0.02,0.2,0.06
aigc_benchmark_real,SD14,0.46399999999999997,0.31495,0.61305,10,50,0.0,0.0,0.0,0.16
aigc_benchmark_real,SD15,0.484,0.2999,0.6570499999999999,10,50,0.0,0.02,0.1,0.12
aigc_benchmark_real,SDXL,0.336,0.198,0.48514999999999986,10,50,0.0,0.04,0.0,0.16
aigc_benchmark_real,VQDM,0.618,0.4193,0.8260000000000001,10,50,0.2,0.02,0.3,0.18
aigc_benchmark_real,Wukong,0.22,0.10790000000000001,0.35105,10,50,0.0,0.02,0.0,0.18
rrdataset_real,ADM,0.30000000000000004,0.15589999999999998,0.45019999999999977,10,50,0.0,0.18,0.0,0.32
rrdataset_real,BigGAN,0.498,0.31170000000000003,0.6811499999999998,10,50,0.2,0.1,0.2,0.2
rrdataset_real,DALLE2,0.174,0.07200000000000001,0.30505,10,50,0.0,0.14,0.0,0.24
rrdataset_real,GLIDE,0.5980000000000001,0.4036,0.7830499999999999,10,50,0.3,0.16,0.4,0.24
rrdataset_real,Midjourney,0.364,0.1918,0.5482999999999998,10,50,0.1,0.18,0.1,0.24
rrdataset_real,SD14,0.45000000000000007,0.27780000000000005,0.6480999999999999,10,50,0.1,0.12,0.2,0.24
rrdataset_real,SD15,0.45599999999999996,0.274,0.634,10,50,0.1,0.14,0.2,0.28
rrdataset_real,SDXL,0.34400000000000003,0.18895,0.50705,10,50,0.0,0.18,0.0,0.28
rrdataset_real,VQDM,0.46399999999999997,0.29095,0.658,10,50,0.1,0.14,0.2,0.22
rrdataset_real,Wukong,0.43200000000000005,0.25895,0.606,10,50,0.0,0.08,0.0,0.2
