held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.702,0.5318,0.86305,10,50,0.3,0.12,0.3,0.14
aigc_benchmark_real,BigGAN,0.516,0.27255,0.7482999999999997,10,50,0.2,0.1,0.2,0.14
aigc_benchmark_real,DALLE2,0.386,0.24399999999999997,0.538,10,50,0.0,0.12,0.0,0.14
aigc_benchmark_real,GLIDE,0.522,0.3118,0.754,10,50,0.2,0.12,0.2,0.14
aigc_benchmark_real,Midjourney,0.776,0.594,0.93705,10,50,0.6,0.1,0.6,0.16
aigc_benchmark_real,SD14,0.768,0.63095,0.892,10,50,0.3,0.12,0.3,0.16
aigc_benchmark_real,SD15,0.782,0.608,0.9250499999999999,10,50,0.7,0.18,0.7,0.18
aigc_benchmark_real,SDXL,0.484,0.34095,0.644,10,50,0.1,0.18,0.2,0.24
aigc_benchmark_real,VQDM,0.6699999999999999,0.4839,0.8540999999999999,10,50,0.3,0.12,0.4,0.14
aigc_benchmark_real,Wukong,0.382,0.24495,0.5361999999999998,10,50,0.0,0.1,0.0,0.2
rrdataset_real,ADM,0.41800000000000004,0.24085000000000004,0.5841,10,50,0.0,0.08,0.0,0.08
rrdataset_real,BigGAN,0.612,0.38265,0.8160999999999998,10,50,0.0,0.04,0.1,0.04
rrdataset_real,DALLE2,0.36,0.22694999999999999,0.51105,10,50,0.0,0.06,0.0,0.16
rrdataset_real,GLIDE,0.58,0.40285,0.748,10,50,0.0,0.0,0.1,0.14
rrdataset_real,Midjourney,0.64,0.45095,0.8091499999999998,10,50,0.0,0.02,0.1,0.06
rrdataset_real,SD14,0.686,0.5259,0.8353499999999997,10,50,0.0,0.0,0.1,0.06
rrdataset_real,SD15,0.766,0.61695,0.89305,10,50,0.0,0.04,0.4,0.12
rrdataset_real,SDXL,0.544,0.364,0.7261999999999998,10,50,0.1,0.04,0.1,0.12
rrdataset_real,VQDM,0.714,0.55285,0.84505,10,50,0.2,0.0,0.2,0.04
rrdataset_real,Wukong,0.542,0.396,0.69905,10,50,0.0,0.02,0.0,0.08
