held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.732,0.56295,0.8853499999999996,10,50,0.1,0.04,0.5,0.16
aigc_benchmark_real,BigGAN,0.746,0.5138,0.9040999999999999,10,50,0.2,0.02,0.7,0.2
aigc_benchmark_real,DALLE2,0.504,0.302,0.6820999999999998,10,50,0.0,0.0,0.1,0.14
aigc_benchmark_real,GLIDE,0.8960000000000001,0.73885,0.988,10,50,0.5,0.0,0.9,0.24
aigc_benchmark_real,Midjourney,0.6819999999999999,0.52095,0.8360999999999998,10,50,0.0,0.0,0.4,0.28
aigc_benchmark_real,SD14,0.644,0.4818,0.8030499999999999,10,50,0.0,0.0,0.4,0.26
aigc_benchmark_real,SD15,0.572,0.398,0.7381,10,50,0.0,0.0,0.4,0.28
aigc_benchmark_real,SDXL,0.36,0.22190000000000001,0.514,10,50,0.0,0.04,0.1,0.3
aigc_benchmark_real,VQDM,0.696,0.4838,0.884,10,50,0.5,0.04,0.6,0.28
aigc_benchmark_real,Wukong,0.39399999999999996,0.23199999999999998,0.538,10,50,0.0,0.02,0.2,0.3
rrdataset_real,ADM,0.6299999999999999,0.45694999999999997,0.79,10,50,0.0,0.1,0.2,0.12
rrdataset_real,BigGAN,0.5660000000000001,0.3778,0.726,10,50,0.2,0.06,0.2,0.08
rrdataset_real,DALLE2,0.36,0.20495000000000002,0.5160999999999999,10,50,0.0,0.1,0.0,0.12
rrdataset_real,GLIDE,0.86,0.72085,0.94905,10,50,0.3,0.06,0.3,0.1
rrdataset_real,Midjourney,0.732,0.5799,0.88105,10,50,0.0,0.04,0.0,0.08
rrdataset_real,SD14,0.836,0.72475,0.93,10,50,0.1,0.04,0.1,0.08
rrdataset_real,SD15,0.806,0.6588499999999999,0.926,10,50,0.1,0.04,0.3,0.08
rrdataset_real,SDXL,0.632,0.44989999999999997,0.82705,10,50,0.1,0.02,0.2,0.08
rrdataset_real,VQDM,0.8280000000000001,0.71085,0.9279999999999999,10,50,0.3,0.02,0.3,0.08
rrdataset_real,Wukong,0.726,0.5640000000000001,0.862,10,50,0.1,0.0,0.3,0.08
