held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.7200000000000001,0.5337,0.8740999999999999,10,50,0.0,0.02,0.0,0.04
aigc_benchmark_real,BigGAN,0.578,0.36295,0.7520999999999999,10,50,0.1,0.02,0.1,0.06
aigc_benchmark_real,DALLE2,0.512,0.35295,0.6732499999999998,10,50,0.0,0.02,0.0,0.06
aigc_benchmark_real,GLIDE,0.762,0.576,0.924,10,50,0.0,0.02,0.2,0.06
aigc_benchmark_real,Midjourney,0.76,0.54855,0.9200999999999998,10,50,0.0,0.02,0.2,0.06
aigc_benchmark_real,SD14,0.6579999999999999,0.4819,0.81105,10,50,0.0,0.02,0.2,0.08
aigc_benchmark_real,SD15,0.738,0.5839,0.87905,10,50,0.0,0.02,0.0,0.04
aigc_benchmark_real,SDXL,0.574,0.3539,0.792,10,50,0.0,0.02,0.2,0.08
aigc_benchmark_real,VQDM,0.6859999999999999,0.50685,0.842,10,50,0.0,0.02,0.0,0.06
aigc_benchmark_real,Wukong,0.634,0.45494999999999997,0.8101999999999999,10,50,0.0,0.02,0.1,0.06
rrdataset_real,ADM,0.614,0.444,0.7962999999999998,10,50,0.0,0.02,0.0,0.04
rrdataset_real,BigGAN,0.526,0.3138,0.7340999999999999,10,50,0.0,0.02,0.0,0.04
rrdataset_real,DALLE2,0.49,0.32245,0.6611499999999999,10,50,0.0,0.02,0.0,0.02
rrdataset_real,GLIDE,0.722,0.528,0.888,10,50,0.1,0.02,0.1,0.02
rrdataset_real,Midjourney,0.8819999999999999,0.78095,0.95105,10,50,0.1,0.02,0.1,0.02
rrdataset_real,SD14,0.782,0.62485,0.92,10,50,0.0,0.02,0.0,0.02
rrdataset_real,SD15,0.69,0.52895,0.83705,10,50,0.0,0.02,0.0,0.02
rrdataset_real,SDXL,0.5800000000000001,0.35485,0.7930499999999999,10,50,0.3,0.02,0.3,0.02
rrdataset_real,VQDM,0.7040000000000001,0.50295,0.84105,10,50,0.2,0.02,0.2,0.06
rrdataset_real,Wukong,0.748,0.60095,0.8880999999999999,10,50,0.1,0.02,0.1,0.02
