held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.66,0.49495,0.8180000000000001,10,50,0.1,0.04,0.2,0.14
aigc_benchmark_real,BigGAN,0.584,0.38095,0.7841999999999999,10,50,0.0,0.0,0.2,0.32
aigc_benchmark_real,DALLE2,0.42,0.27,0.5980999999999999,10,50,0.0,0.02,0.0,0.12
aigc_benchmark_real,GLIDE,0.8059999999999999,0.62495,0.9611499999999997,10,50,0.7,0.04,0.7,0.1
aigc_benchmark_real,Midjourney,0.81,0.68695,0.9173499999999996,10,50,0.3,0.04,0.5,0.2
aigc_benchmark_real,SD14,0.718,0.54435,0.86705,10,50,0.2,0.0,0.4,0.12
aigc_benchmark_real,SD15,0.586,0.4115,0.752,10,50,0.1,0.02,0.1,0.16
aigc_benchmark_real,SDXL,0.42800000000000005,0.28495,0.60105,10,50,0.0,0.08,0.0,0.24
aigc_benchmark_real,VQDM,0.628,0.44980000000000003,0.788,10,50,0.1,0.04,0.2,0.14
aigc_benchmark_real,Wukong,0.448,0.302,0.5881,10,50,0.0,0.06,0.0,0.12
rrdataset_real,ADM,0.676,0.5439,0.8180999999999999,10,50,0.3,0.1,0.3,0.12
rrdataset_real,BigGAN,0.6080000000000001,0.41075,0.7641999999999999,10,50,0.2,0.1,0.2,0.1
rrdataset_real,DALLE2,0.39199999999999996,0.202,0.56505,10,50,0.0,0.04,0.0,0.14
rrdataset_real,GLIDE,0.8500000000000001,0.732,0.95305,10,50,0.2,0.04,0.3,0.06
rrdataset_real,Midjourney,0.632,0.46695,0.8030499999999999,10,50,0.2,0.04,0.2,0.12
rrdataset_real,SD14,0.768,0.642,0.8940999999999999,10,50,0.2,0.04,0.2,0.06
rrdataset_real,SD15,0.796,0.6258,0.9380000000000001,10,50,0.2,0.04,0.2,0.08
rrdataset_real,SDXL,0.6,0.39285000000000003,0.8412499999999998,10,50,0.1,0.06,0.1,0.06
rrdataset_real,VQDM,0.748,0.60885,0.872,10,50,0.1,0.04,0.3,0.04
rrdataset_real,Wukong,0.684,0.5299,0.8202999999999997,10,50,0.1,0.02,0.2,0.06
