held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.656,0.50295,0.80305,10,50,0.0,0.02,0.0,0.02
aigc_benchmark_real,BigGAN,0.576,0.38894999999999996,0.7510499999999999,10,50,0.0,0.02,0.0,0.02
aigc_benchmark_real,DALLE2,0.448,0.29884999999999995,0.5800000000000001,10,50,0.0,0.02,0.0,0.02
aigc_benchmark_real,GLIDE,0.79,0.6467499999999999,0.9011499999999999,10,50,0.0,0.02,0.2,0.02
aigc_benchmark_real,Midjourney,0.692,0.5326500000000001,0.8312499999999997,10,50,0.1,0.02,0.1,0.02
aigc_benchmark_real,SD14,0.622,0.452,0.786,10,50,0.0,0.02,0.0,0.02
aigc_benchmark_real,SD15,0.64,0.4819,0.7900999999999999,10,50,0.0,0.02,0.0,0.02
aigc_benchmark_real,SDXL,0.5599999999999999,0.38095,0.7380999999999999,10,50,0.0,0.02,0.0,0.02
aigc_benchmark_real,VQDM,0.716,0.5319,0.85505,10,50,0.0,0.02,0.0,0.02
aigc_benchmark_real,Wukong,0.562,0.41,0.7042999999999997,10,50,0.0,0.02,0.0,0.02
rrdataset_real,ADM,0.6399999999999999,0.4678,0.8051499999999999,10,50,0.0,0.02,0.2,0.12
rrdataset_real,BigGAN,0.618,0.39189999999999997,0.7992499999999998,10,50,0.1,0.04,0.4,0.12
rrdataset_real,DALLE2,0.426,0.28190000000000004,0.5802999999999997,10,50,0.0,0.04,0.0,0.1
rrdataset_real,GLIDE,0.782,0.64085,0.9171499999999998,10,50,0.1,0.04,0.2,0.08
rrdataset_real,Midjourney,0.828,0.71285,0.9170499999999999,10,50,0.0,0.02,0.2,0.06
rrdataset_real,SD14,0.656,0.44389999999999996,0.8140000000000001,10,50,0.0,0.04,0.1,0.06
rrdataset_real,SD15,0.746,0.5839,0.8820999999999999,10,50,0.0,0.04,0.2,0.08
rrdataset_real,SDXL,0.666,0.46285,0.8715499999999995,10,50,0.1,0.02,0.2,0.06
rrdataset_real,VQDM,0.716,0.5058,0.8580999999999999,10,50,0.2,0.04,0.2,0.06
rrdataset_real,Wukong,0.652,0.4659,0.8180000000000001,10,50,0.0,0.04,0.0,0.08
