held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.724,0.548,0.8752499999999998,10,50,0.0,0.0,0.3,0.12
aigc_benchmark_real,BigGAN,0.612,0.4177,0.8180000000000001,10,50,0.0,0.0,0.1,0.08
aigc_benchmark_real,DALLE2,0.36600000000000005,0.22865,0.5180999999999999,10,50,0.0,0.02,0.0,0.1
aigc_benchmark_real,GLIDE,0.754,0.5900000000000001,0.8840999999999999,10,50,0.3,0.02,0.4,0.14
aigc_benchmark_real,Midjourney,0.604,0.42390000000000005,0.7710499999999999,10,50,0.1,0.0,0.2,0.14
aigc_benchmark_real,SD14,0.5780000000000001,0.41864999999999997,0.7281,10,50,0.0,0.0,0.0,0.06
aigc_benchmark_real,SD15,0.5960000000000001,0.44389999999999996,0.744,10,50,0.0,0.04,0.1,0.1
aigc_benchmark_real,SDXL,0.432,0.266,0.5920999999999998,10,50,0.0,0.04,0.0,0.16
aigc_benchmark_real,VQDM,0.632,0.43494999999999995,0.8291499999999998,10,50,0.3,0.0,0.3,0.08
aigc_benchmark_real,Wukong,0.318,0.17285,0.4690499999999999,10,50,0.0,0.04,0.0,0.1
rrdataset_real,ADM,0.502,0.32885,0.6811499999999998,10,50,0.0,0.02,0.1,0.2
rrdataset_real,BigGAN,0.5840000000000001,0.378,0.78105,10,50,0.2,0.02,0.4,0.24
rrdataset_real,DALLE2,0.21400000000000002,0.09095000000000002,0.3590499999999999,10,50,0.0,0.0,0.0,0.18
rrdataset_real,GLIDE,0.82,0.6636,0.958,10,50,0.3,0.02,0.7,0.12
rrdataset_real,Midjourney,0.464,0.25075,0.688,10,50,0.1,0.02,0.3,0.2
rrdataset_real,SD14,0.41200000000000003,0.2356,0.6410499999999999,10,50,0.0,0.02,0.2,0.18
rrdataset_real,SD15,0.51,0.3278,0.6710499999999999,10,50,0.0,0.02,0.1,0.2
rrdataset_real,SDXL,0.22799999999999998,0.11695,0.36114999999999986,10,50,0.0,0.04,0.0,0.22
rrdataset_real,VQDM,0.5439999999999999,0.332,0.762,10,50,0.2,0.02,0.4,0.2
rrdataset_real,Wukong,0.402,0.23885000000000003,0.62105,10,50,0.0,0.0,0.1,0.16
