held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.81,0.6645500000000001,0.914,10,50,0.3,0.06,0.7,0.2
aigc_benchmark_real,BigGAN,0.564,0.3457,0.764,10,50,0.1,0.06,0.2,0.14
aigc_benchmark_real,DALLE2,0.356,0.2079,0.5100999999999999,10,50,0.0,0.06,0.0,0.14
aigc_benchmark_real,GLIDE,0.766,0.5499,0.9531499999999998,10,50,0.5,0.04,0.6,0.22
aigc_benchmark_real,Midjourney,0.7180000000000001,0.52695,0.866,10,50,0.2,0.04,0.5,0.2
aigc_benchmark_real,SD14,0.728,0.5668500000000001,0.85305,10,50,0.0,0.06,0.2,0.12
aigc_benchmark_real,SD15,0.696,0.5317000000000001,0.8520000000000001,10,50,0.4,0.12,0.5,0.26
aigc_benchmark_real,SDXL,0.44999999999999996,0.28095,0.61105,10,50,0.1,0.08,0.1,0.2
aigc_benchmark_real,VQDM,0.7160000000000001,0.5279,0.88505,10,50,0.5,0.1,0.6,0.14
aigc_benchmark_real,Wukong,0.21600000000000003,0.10295000000000001,0.3400999999999999,10,50,0.0,0.08,0.0,0.24
rrdataset_real,ADM,0.492,0.29485000000000006,0.6733499999999996,10,50,0.0,0.0,0.2,0.22
rrdataset_real,BigGAN,0.5840000000000001,0.38475,0.7660999999999999,10,50,0.0,0.0,0.2,0.06
rrdataset_real,DALLE2,0.26,0.12895,0.4201999999999998,10,50,0.0,0.0,0.0,0.18
rrdataset_real,GLIDE,0.724,0.5219,0.88105,10,50,0.0,0.0,0.4,0.18
rrdataset_real,Midjourney,0.688,0.4998,0.83905,10,50,0.0,0.0,0.2,0.2
rrdataset_real,SD14,0.76,0.62895,0.87705,10,50,0.0,0.0,0.3,0.2
rrdataset_real,SD15,0.8619999999999999,0.75485,0.95105,10,50,0.0,0.0,0.6,0.16
rrdataset_real,SDXL,0.526,0.3119,0.71305,10,50,0.0,0.0,0.1,0.22
rrdataset_real,VQDM,0.76,0.6198999999999999,0.884,10,50,0.0,0.0,0.3,0.14
rrdataset_real,Wukong,0.496,0.32675,0.6780999999999999,10,50,0.0,0.0,0.0,0.12
