held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.6739999999999999,0.522,0.8341999999999998,10,50,0.0,0.04,0.2,0.12
aigc_benchmark_real,BigGAN,0.672,0.41295000000000004,0.8631499999999999,10,50,0.1,0.02,0.5,0.12
aigc_benchmark_real,DALLE2,0.688,0.53295,0.8540000000000001,10,50,0.1,0.02,0.2,0.1
aigc_benchmark_real,GLIDE,0.9420000000000001,0.8739999999999999,0.98505,10,50,0.5,0.04,0.9,0.12
aigc_benchmark_real,Midjourney,0.6260000000000001,0.46895,0.764,10,50,0.0,0.0,0.1,0.16
aigc_benchmark_real,SD14,0.672,0.49665,0.82505,10,50,0.0,0.04,0.3,0.12
aigc_benchmark_real,SD15,0.528,0.35095,0.678,10,50,0.0,0.04,0.1,0.2
aigc_benchmark_real,SDXL,0.456,0.25285,0.62705,10,50,0.0,0.04,0.1,0.18
aigc_benchmark_real,VQDM,0.544,0.36695,0.7460999999999999,10,50,0.2,0.02,0.3,0.14
aigc_benchmark_real,Wukong,0.46799999999999997,0.29285000000000005,0.6131499999999999,10,50,0.0,0.08,0.1,0.18
rrdataset_real,ADM,0.6960000000000001,0.518,0.85105,10,50,0.1,0.02,0.1,0.06
rrdataset_real,BigGAN,0.608,0.42590000000000006,0.774,10,50,0.1,0.0,0.1,0.02
rrdataset_real,DALLE2,0.546,0.34695,0.7283999999999996,10,50,0.0,0.0,0.1,0.06
rrdataset_real,GLIDE,0.8440000000000001,0.71895,0.94,10,50,0.2,0.0,0.4,0.02
rrdataset_real,Midjourney,0.58,0.43675,0.7500999999999999,10,50,0.0,0.0,0.1,0.0
rrdataset_real,SD14,0.76,0.6209499999999999,0.8980999999999999,10,50,0.0,0.0,0.1,0.02
rrdataset_real,SD15,0.776,0.5959,0.9271499999999998,10,50,0.0,0.0,0.2,0.02
rrdataset_real,SDXL,0.596,0.3919,0.7803999999999995,10,50,0.0,0.0,0.1,0.02
rrdataset_real,VQDM,0.6859999999999999,0.4979,0.86305,10,50,0.1,0.0,0.2,0.04
rrdataset_real,Wukong,0.778,0.58865,0.9341999999999998,10,50,0.3,0.0,0.3,0.02
