held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.694,0.5138,0.8651499999999999,10,50,0.0,0.0,0.4,0.08
aigc_benchmark_real,BigGAN,0.6739999999999999,0.4935,0.8400999999999998,10,50,0.2,0.04,0.2,0.08
aigc_benchmark_real,DALLE2,0.532,0.38495,0.6952499999999997,10,50,0.0,0.0,0.0,0.06
aigc_benchmark_real,GLIDE,0.912,0.81,0.9840000000000001,10,50,0.5,0.0,0.6,0.02
aigc_benchmark_real,Midjourney,0.528,0.3478,0.7080999999999998,10,50,0.1,0.02,0.1,0.1
aigc_benchmark_real,SD14,0.504,0.346,0.662,10,50,0.0,0.04,0.0,0.08
aigc_benchmark_real,SD15,0.516,0.3135,0.6860999999999999,10,50,0.1,0.04,0.1,0.1
aigc_benchmark_real,SDXL,0.30000000000000004,0.18095,0.4230499999999999,10,50,0.0,0.08,0.0,0.2
aigc_benchmark_real,VQDM,0.72,0.5299,0.8863999999999996,10,50,0.3,0.0,0.4,0.06
aigc_benchmark_real,Wukong,0.29800000000000004,0.16990000000000002,0.4460999999999999,10,50,0.0,0.02,0.0,0.06
rrdataset_real,ADM,0.33999999999999997,0.18295,0.494,10,50,0.0,0.1,0.0,0.12
rrdataset_real,BigGAN,0.748,0.57885,0.8821999999999998,10,50,0.2,0.04,0.3,0.08
rrdataset_real,DALLE2,0.21199999999999997,0.06495000000000002,0.38704999999999995,10,50,0.0,0.06,0.0,0.08
rrdataset_real,GLIDE,0.8200000000000001,0.6577999999999999,0.95105,10,50,0.5,0.08,0.6,0.08
rrdataset_real,Midjourney,0.476,0.26675000000000004,0.6960999999999999,10,50,0.1,0.02,0.2,0.1
rrdataset_real,SD14,0.504,0.2898,0.7135499999999995,10,50,0.1,0.02,0.2,0.08
rrdataset_real,SD15,0.6120000000000001,0.4279,0.7880999999999999,10,50,0.0,0.02,0.2,0.08
rrdataset_real,SDXL,0.264,0.12095000000000003,0.438,10,50,0.0,0.02,0.0,0.12
rrdataset_real,VQDM,0.59,0.39075000000000004,0.7680999999999999,10,50,0.2,0.02,0.2,0.1
rrdataset_real,Wukong,0.588,0.42065,0.7351499999999999,10,50,0.0,0.02,0.0,0.06
