held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.744,0.59895,0.90305,10,50,0.1,0.02,0.4,0.12
aigc_benchmark_real,BigGAN,0.598,0.3494,0.8052499999999998,10,50,0.0,0.02,0.1,0.08
aigc_benchmark_real,DALLE2,0.494,0.316,0.6520999999999999,10,50,0.0,0.06,0.0,0.08
aigc_benchmark_real,GLIDE,0.586,0.3776,0.7880999999999999,10,50,0.0,0.0,0.3,0.08
aigc_benchmark_real,Midjourney,0.694,0.5388499999999999,0.848,10,50,0.0,0.02,0.2,0.12
aigc_benchmark_real,SD14,0.58,0.39990000000000003,0.748,10,50,0.0,0.02,0.0,0.12
aigc_benchmark_real,SD15,0.5680000000000001,0.3779,0.73705,10,50,0.0,0.02,0.2,0.14
aigc_benchmark_real,SDXL,0.49199999999999994,0.30675,0.67905,10,50,0.0,0.0,0.0,0.12
aigc_benchmark_real,VQDM,0.692,0.5119,0.86,10,50,0.1,0.02,0.5,0.12
aigc_benchmark_real,Wukong,0.246,0.11789999999999999,0.3680999999999999,10,50,0.0,0.02,0.0,0.1
rrdataset_real,ADM,0.492,0.3019,0.6770499999999999,10,50,0.0,0.14,0.1,0.18
rrdataset_real,BigGAN,0.56,0.37885,0.744,10,50,0.2,0.1,0.2,0.14
rrdataset_real,DALLE2,0.192,0.10199999999999998,0.3000999999999999,10,50,0.0,0.1,0.0,0.18
rrdataset_real,GLIDE,0.494,0.31389999999999996,0.6471499999999999,10,50,0.0,0.06,0.0,0.12
rrdataset_real,Midjourney,0.5760000000000001,0.3996,0.72705,10,50,0.1,0.06,0.1,0.18
rrdataset_real,SD14,0.624,0.42895,0.7940999999999999,10,50,0.2,0.04,0.3,0.12
rrdataset_real,SD15,0.702,0.51005,0.8603999999999996,10,50,0.0,0.0,0.4,0.16
rrdataset_real,SDXL,0.38999999999999996,0.2219,0.55,10,50,0.0,0.04,0.1,0.14
rrdataset_real,VQDM,0.714,0.5507500000000001,0.8261,10,50,0.1,0.08,0.2,0.18
rrdataset_real,Wukong,0.458,0.2878,0.6430499999999999,10,50,0.1,0.04,0.1,0.14
