held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.646,0.45085,0.8331499999999998,10,50,0.0,0.0,0.1,0.06
aigc_benchmark_real,BigGAN,0.666,0.4059,0.8691499999999999,10,50,0.0,0.0,0.0,0.02
aigc_benchmark_real,DALLE2,0.736,0.6019,0.8931499999999999,10,50,0.0,0.0,0.1,0.04
aigc_benchmark_real,GLIDE,0.9279999999999999,0.842,0.98,10,50,0.1,0.0,0.7,0.04
aigc_benchmark_real,Midjourney,0.678,0.5,0.8190500000000001,10,50,0.0,0.0,0.0,0.02
aigc_benchmark_real,SD14,0.5800000000000001,0.40295,0.71905,10,50,0.0,0.0,0.0,0.04
aigc_benchmark_real,SD15,0.622,0.4439,0.77305,10,50,0.0,0.0,0.0,0.04
aigc_benchmark_real,SDXL,0.376,0.214,0.5291499999999999,10,50,0.0,0.0,0.0,0.04
aigc_benchmark_real,VQDM,0.538,0.3498,0.7362999999999997,10,50,0.0,0.0,0.0,0.04
aigc_benchmark_real,Wukong,0.37,0.19295,0.5160999999999999,10,50,0.0,0.06,0.0,0.16
rrdataset_real,ADM,0.606,0.4398,0.7840999999999999,10,50,0.1,0.06,0.1,0.1
rrdataset_real,BigGAN,0.6839999999999999,0.52085,0.8281,10,50,0.1,0.0,0.2,0.06
rrdataset_real,DALLE2,0.508,0.3458,0.6721999999999998,10,50,0.0,0.02,0.0,0.02
rrdataset_real,GLIDE,0.778,0.60645,0.89705,10,50,0.3,0.02,0.3,0.14
rrdataset_real,Midjourney,0.63,0.4659,0.8110499999999999,10,50,0.0,0.0,0.1,0.08
rrdataset_real,SD14,0.764,0.6039,0.88705,10,50,0.2,0.04,0.3,0.1
rrdataset_real,SD15,0.758,0.5655,0.9060999999999999,10,50,0.3,0.02,0.3,0.02
rrdataset_real,SDXL,0.5660000000000001,0.3398,0.7552499999999999,10,50,0.1,0.02,0.3,0.12
rrdataset_real,VQDM,0.728,0.57695,0.87905,10,50,0.2,0.04,0.2,0.04
rrdataset_real,Wukong,0.6759999999999999,0.5238,0.83705,10,50,0.2,0.02,0.2,0.04
