held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
aigc_benchmark_real,BigGAN,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
aigc_benchmark_real,DALLE2,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
aigc_benchmark_real,GLIDE,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
aigc_benchmark_real,Midjourney,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
aigc_benchmark_real,SD14,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
aigc_benchmark_real,SD15,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
aigc_benchmark_real,SDXL,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
aigc_benchmark_real,VQDM,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
aigc_benchmark_real,Wukong,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
rrdataset_real,ADM,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
rrdataset_real,BigGAN,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
rrdataset_real,DALLE2,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
rrdataset_real,GLIDE,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
rrdataset_real,Midjourney,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
rrdataset_real,SD14,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
rrdataset_real,SD15,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
rrdataset_real,SDXL,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
rrdataset_real,VQDM,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
rrdataset_real,Wukong,0.5,0.5,0.5,10,50,1.0,1.0,1.0,1.0
