held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.72,0.5609500000000001,0.886,10,50,0.0,0.0,0.4,0.06
aigc_benchmark_real,BigGAN,0.646,0.45685000000000003,0.8340000000000001,10,50,0.2,0.04,0.2,0.08
aigc_benchmark_real,DALLE2,0.498,0.34199999999999997,0.64505,10,50,0.0,0.0,0.0,0.04
aigc_benchmark_real,GLIDE,0.9179999999999999,0.83295,0.98,10,50,0.5,0.0,0.6,0.02
aigc_benchmark_real,Midjourney,0.55,0.36845,0.72705,10,50,0.1,0.06,0.1,0.1
aigc_benchmark_real,SD14,0.492,0.33799999999999997,0.6481999999999999,10,50,0.0,0.04,0.0,0.08
aigc_benchmark_real,SD15,0.518,0.31085,0.7001999999999998,10,50,0.1,0.0,0.1,0.08
aigc_benchmark_real,SDXL,0.302,0.17895,0.43409999999999993,10,50,0.0,0.06,0.0,0.16
aigc_benchmark_real,VQDM,0.71,0.51495,0.8840999999999999,10,50,0.3,0.02,0.4,0.02
aigc_benchmark_real,Wukong,0.28800000000000003,0.17095,0.4210499999999999,10,50,0.0,0.02,0.0,0.08
rrdataset_real,ADM,0.384,0.19485000000000002,0.5620999999999999,10,50,0.0,0.1,0.2,0.22
rrdataset_real,BigGAN,0.7400000000000001,0.5640000000000001,0.8760999999999999,10,50,0.2,0.08,0.3,0.14
rrdataset_real,DALLE2,0.19399999999999998,0.05295000000000002,0.36859999999999943,10,50,0.0,0.08,0.0,0.16
rrdataset_real,GLIDE,0.8039999999999999,0.6436,0.9440000000000001,10,50,0.5,0.08,0.6,0.1
rrdataset_real,Midjourney,0.482,0.2859,0.69705,10,50,0.1,0.02,0.3,0.16
rrdataset_real,SD14,0.544,0.2979,0.77905,10,50,0.1,0.02,0.4,0.12
rrdataset_real,SD15,0.612,0.42455000000000004,0.7820999999999999,10,50,0.0,0.02,0.2,0.08
rrdataset_real,SDXL,0.22200000000000003,0.09590000000000001,0.37504999999999994,10,50,0.0,0.06,0.0,0.2
rrdataset_real,VQDM,0.5740000000000001,0.3634,0.7633499999999996,10,50,0.2,0.04,0.2,0.1
rrdataset_real,Wukong,0.5700000000000001,0.42779999999999996,0.6920000000000001,10,50,0.0,0.02,0.0,0.08
