held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.714,0.56885,0.8601999999999999,10,50,0.2,0.04,0.3,0.16
aigc_benchmark_real,BigGAN,0.648,0.4119,0.8240000000000001,10,50,0.1,0.02,0.4,0.2
aigc_benchmark_real,DALLE2,0.412,0.24000000000000002,0.5760000000000001,10,50,0.0,0.04,0.0,0.12
aigc_benchmark_real,GLIDE,0.65,0.46295,0.8460999999999999,10,50,0.2,0.02,0.3,0.14
aigc_benchmark_real,Midjourney,0.594,0.40275,0.78,10,50,0.0,0.02,0.3,0.18
aigc_benchmark_real,SD14,0.52,0.37295,0.6750499999999999,10,50,0.0,0.02,0.1,0.2
aigc_benchmark_real,SD15,0.538,0.34285,0.71105,10,50,0.0,0.02,0.1,0.16
aigc_benchmark_real,SDXL,0.44999999999999996,0.28495,0.61505,10,50,0.0,0.02,0.1,0.22
aigc_benchmark_real,VQDM,0.6980000000000001,0.51,0.86505,10,50,0.2,0.02,0.5,0.16
aigc_benchmark_real,Wukong,0.246,0.11495,0.38924999999999976,10,50,0.0,0.02,0.0,0.14
rrdataset_real,ADM,0.378,0.19095,0.5711499999999998,10,50,0.0,0.14,0.1,0.22
rrdataset_real,BigGAN,0.62,0.4239,0.802,10,50,0.2,0.04,0.2,0.16
rrdataset_real,DALLE2,0.14200000000000002,0.03095000000000001,0.27904999999999996,10,50,0.0,0.12,0.0,0.18
rrdataset_real,GLIDE,0.508,0.2979,0.724,10,50,0.1,0.12,0.1,0.12
rrdataset_real,Midjourney,0.534,0.3539,0.718,10,50,0.1,0.12,0.1,0.18
rrdataset_real,SD14,0.566,0.3499,0.7831499999999998,10,50,0.2,0.06,0.3,0.16
rrdataset_real,SD15,0.634,0.44675,0.78305,10,50,0.1,0.14,0.3,0.16
rrdataset_real,SDXL,0.382,0.2219,0.5702999999999997,10,50,0.0,0.14,0.1,0.18
rrdataset_real,VQDM,0.6499999999999999,0.42685,0.8324999999999996,10,50,0.3,0.14,0.3,0.16
rrdataset_real,Wukong,0.302,0.14685,0.44800000000000006,10,50,0.0,0.02,0.0,0.12
