held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.466,0.22485000000000002,0.6880999999999999,10,50,0.0,0.02,0.1,0.08
aigc_benchmark_real,BigGAN,0.366,0.21,0.5321999999999999,10,50,0.0,0.02,0.1,0.1
aigc_benchmark_real,DALLE2,0.32599999999999996,0.1759,0.49104999999999993,10,50,0.0,0.04,0.0,0.08
aigc_benchmark_real,GLIDE,0.626,0.43294999999999995,0.7931499999999999,10,50,0.0,0.02,0.1,0.1
aigc_benchmark_real,Midjourney,0.74,0.586,0.87305,10,50,0.0,0.02,0.0,0.06
aigc_benchmark_real,SD14,0.336,0.17285000000000003,0.50905,10,50,0.0,0.02,0.0,0.08
aigc_benchmark_real,SD15,0.536,0.29465,0.716,10,50,0.0,0.02,0.3,0.06
aigc_benchmark_real,SDXL,0.398,0.22095,0.586,10,50,0.0,0.02,0.1,0.06
aigc_benchmark_real,VQDM,0.6920000000000001,0.45694999999999997,0.8650500000000001,10,50,0.2,0.02,0.3,0.06
aigc_benchmark_real,Wukong,0.346,0.2019,0.4830499999999999,10,50,0.0,0.02,0.0,0.08
rrdataset_real,ADM,0.534,0.32294999999999996,0.7131499999999998,10,50,0.0,0.02,0.0,0.06
rrdataset_real,BigGAN,0.372,0.17295000000000002,0.5794499999999996,10,50,0.0,0.0,0.1,0.06
rrdataset_real,DALLE2,0.43400000000000005,0.272,0.6020999999999999,10,50,0.0,0.0,0.0,0.06
rrdataset_real,GLIDE,0.542,0.33695,0.7291499999999999,10,50,0.0,0.0,0.1,0.06
rrdataset_real,Midjourney,0.40800000000000003,0.2659,0.5672499999999998,10,50,0.0,0.0,0.0,0.04
rrdataset_real,SD14,0.5740000000000001,0.40095,0.7391499999999999,10,50,0.0,0.0,0.0,0.04
rrdataset_real,SD15,0.646,0.48400000000000004,0.8060999999999999,10,50,0.0,0.0,0.0,0.04
rrdataset_real,SDXL,0.614,0.42589999999999995,0.78905,10,50,0.0,0.0,0.1,0.06
rrdataset_real,VQDM,0.68,0.46895000000000003,0.858,10,50,0.0,0.0,0.1,0.04
rrdataset_real,Wukong,0.622,0.45780000000000004,0.7780999999999999,10,50,0.0,0.0,0.0,0.02
