held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.72,0.5598000000000001,0.88105,10,50,0.0,0.0,0.4,0.1
aigc_benchmark_real,BigGAN,0.6839999999999999,0.49075,0.8612499999999997,10,50,0.0,0.0,0.2,0.06
aigc_benchmark_real,DALLE2,0.49800000000000005,0.34695,0.644,10,50,0.0,0.0,0.1,0.1
aigc_benchmark_real,GLIDE,0.9319999999999999,0.84895,0.992,10,50,0.4,0.0,0.7,0.06
aigc_benchmark_real,Midjourney,0.5660000000000001,0.39694999999999997,0.73305,10,50,0.1,0.0,0.1,0.08
aigc_benchmark_real,SD14,0.47600000000000003,0.33190000000000003,0.63905,10,50,0.0,0.0,0.0,0.08
aigc_benchmark_real,SD15,0.486,0.28285000000000005,0.6783999999999997,10,50,0.1,0.04,0.1,0.1
aigc_benchmark_real,SDXL,0.272,0.15190000000000003,0.388,10,50,0.0,0.08,0.0,0.14
aigc_benchmark_real,VQDM,0.7100000000000001,0.51895,0.8771499999999999,10,50,0.4,0.0,0.4,0.08
aigc_benchmark_real,Wukong,0.27999999999999997,0.1499,0.4160999999999999,10,50,0.0,0.0,0.0,0.08
rrdataset_real,ADM,0.31400000000000006,0.15475,0.4900999999999999,10,50,0.0,0.08,0.0,0.2
rrdataset_real,BigGAN,0.6960000000000001,0.48085,0.86105,10,50,0.2,0.06,0.2,0.1
rrdataset_real,DALLE2,0.19200000000000003,0.04600000000000003,0.36314999999999986,10,50,0.0,0.06,0.0,0.1
rrdataset_real,GLIDE,0.8140000000000001,0.6488499999999999,0.95305,10,50,0.5,0.08,0.6,0.08
rrdataset_real,Midjourney,0.44800000000000006,0.2459,0.6572499999999998,10,50,0.1,0.06,0.2,0.1
rrdataset_real,SD14,0.522,0.3038,0.7412499999999999,10,50,0.1,0.04,0.2,0.1
rrdataset_real,SD15,0.546,0.3579,0.73305,10,50,0.0,0.06,0.2,0.1
rrdataset_real,SDXL,0.26,0.12990000000000004,0.42704999999999993,10,50,0.0,0.04,0.0,0.14
rrdataset_real,VQDM,0.56,0.33370000000000005,0.7610499999999999,10,50,0.2,0.06,0.3,0.1
rrdataset_real,Wukong,0.578,0.4039,0.7321999999999999,10,50,0.0,0.04,0.0,0.08
