held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.672,0.496,0.8361,10,50,0.1,0.02,0.3,0.18
aigc_benchmark_real,BigGAN,0.5680000000000001,0.3259,0.7590499999999999,10,50,0.0,0.02,0.3,0.06
aigc_benchmark_real,DALLE2,0.356,0.186,0.51305,10,50,0.0,0.04,0.0,0.18
aigc_benchmark_real,GLIDE,0.6539999999999999,0.45599999999999996,0.8420000000000001,10,50,0.0,0.02,0.3,0.14
aigc_benchmark_real,Midjourney,0.628,0.45095,0.7931499999999998,10,50,0.0,0.02,0.2,0.1
aigc_benchmark_real,SD14,0.488,0.33675,0.6531499999999999,10,50,0.0,0.02,0.0,0.08
aigc_benchmark_real,SD15,0.548,0.3759,0.71105,10,50,0.0,0.02,0.2,0.08
aigc_benchmark_real,SDXL,0.478,0.3039,0.6511499999999999,10,50,0.0,0.02,0.1,0.12
aigc_benchmark_real,VQDM,0.686,0.49495,0.86105,10,50,0.2,0.02,0.5,0.08
aigc_benchmark_real,Wukong,0.21400000000000002,0.11295,0.33009999999999995,10,50,0.0,0.02,0.0,0.08
rrdataset_real,ADM,0.38,0.20800000000000002,0.578,10,50,0.0,0.06,0.0,0.22
rrdataset_real,BigGAN,0.62,0.44895,0.79,10,50,0.0,0.0,0.3,0.18
rrdataset_real,DALLE2,0.176,0.07295,0.28619999999999984,10,50,0.0,0.08,0.0,0.2
rrdataset_real,GLIDE,0.536,0.32,0.7460999999999999,10,50,0.0,0.08,0.1,0.12
rrdataset_real,Midjourney,0.54,0.3538,0.704,10,50,0.0,0.0,0.0,0.18
rrdataset_real,SD14,0.644,0.45694999999999997,0.8251499999999999,10,50,0.0,0.0,0.3,0.18
rrdataset_real,SD15,0.756,0.62485,0.86705,10,50,0.0,0.02,0.2,0.16
rrdataset_real,SDXL,0.492,0.31895,0.6920000000000001,10,50,0.0,0.02,0.2,0.16
rrdataset_real,VQDM,0.6240000000000001,0.45399999999999996,0.7771499999999999,10,50,0.0,0.04,0.3,0.16
rrdataset_real,Wukong,0.322,0.16790000000000002,0.48,10,50,0.0,0.0,0.0,0.12
