held_real,held_generator,auroc,ci_lo,ci_hi,n_pos,n_neg,tpr@1,realized_fpr@1,tpr@5,realized_fpr@5
aigc_benchmark_real,ADM,0.79,0.72475,0.8500000000000001,10,50,0.0,0.0,1.0,0.42
aigc_benchmark_real,BigGAN,0.79,0.72475,0.8500000000000001,10,50,0.0,0.0,1.0,0.42
aigc_benchmark_real,DALLE2,0.79,0.72475,0.8500000000000001,10,50,0.0,0.0,1.0,0.42
aigc_benchmark_real,GLIDE,0.79,0.72475,0.8500000000000001,10,50,0.0,0.0,1.0,0.42
aigc_benchmark_real,Midjourney,0.5700000000000001,0.43999999999999995,0.7000000000000001,10,50,0.0,0.42,0.0,0.42
aigc_benchmark_real,SD14,0.5800000000000001,0.44949999999999996,0.7000000000000001,10,50,0.0,0.0,1.0,0.42
aigc_benchmark_real,SD15,0.5800000000000001,0.44949999999999996,0.7000000000000001,10,50,0.0,0.0,0.0,0.42
aigc_benchmark_real,SDXL,0.5700000000000001,0.43999999999999995,0.7000000000000001,10,50,0.0,0.42,0.0,0.42
aigc_benchmark_real,VQDM,0.79,0.72475,0.8500000000000001,10,50,0.0,0.0,1.0,0.42
aigc_benchmark_real,Wukong,0.5800000000000001,0.44949999999999996,0.7000000000000001,10,50,0.0,0.0,0.0,0.42
rrdataset_real,ADM,0.78,0.6599999999999999,0.88,10,50,0.0,0.06,0.0,0.22
rrdataset_real,BigGAN,0.78,0.6599999999999999,0.88,10,50,0.0,0.06,0.0,0.22
rrdataset_real,DALLE2,0.78,0.6599999999999999,0.88,10,50,0.0,0.06,0.0,0.22
rrdataset_real,GLIDE,0.78,0.6599999999999999,0.88,10,50,0.0,0.06,0.0,0.22
rrdataset_real,Midjourney,0.92,0.84,0.98,10,50,0.0,0.06,1.0,0.22
rrdataset_real,SD14,0.86,0.77475,0.9400000000000001,10,50,0.0,0.06,1.0,0.18
rrdataset_real,SD15,0.86,0.77475,0.9400000000000001,10,50,0.0,0.06,1.0,0.18
rrdataset_real,SDXL,0.92,0.84,0.98,10,50,0.0,0.06,1.0,0.22
rrdataset_real,VQDM,0.78,0.6599999999999999,0.88,10,50,0.0,0.06,0.0,0.22
rrdataset_real,Wukong,0.86,0.77475,0.9400000000000001,10,50,0.0,0.06,1.0,0.18
