run,macro,se_lowerbound_indep,mean_cell_halfwidth
baseline_ALL_v1,0.655,0.019,0.159
baseline_guidance,0.665,0.019,0.164
baseline_latent_endpoint_stats,0.539,0.019,0.162
baseline_legacy51,0.623,0.019,0.161
canon_band128_ALL_v1,0.596,0.02,0.172
canon_band128_guidance,0.714,0.019,0.161
canon_band128_latent_endpoint_stats,0.445,0.019,0.168
canon_band128_legacy51,0.592,0.019,0.168
canon_crop256_ALL_v1,0.66,0.018,0.155
canon_crop256_guidance,0.668,0.02,0.171
canon_crop256_jpeg75_ALL_v1,0.642,0.018,0.158
canon_crop256_jpeg75_guidance,0.65,0.019,0.16
canon_crop256_jpeg75_latent_endpoint_stats,0.515,0.02,0.171
canon_crop256_jpeg75_legacy51,0.637,0.018,0.157
canon_crop256_latent_endpoint_stats,0.549,0.019,0.161
canon_crop256_legacy51,0.609,0.019,0.161
cond_generic_ALL_v1,0.657,0.019,0.163
cond_generic_guidance,0.633,0.019,0.168
cond_generic_latent_endpoint_stats,0.542,0.019,0.164
cond_generic_legacy51,0.545,0.02,0.169
cond_null_ALL_v1,0.642,0.019,0.163
cond_null_guidance,0.5,0.0,0.0
cond_null_latent_endpoint_stats,0.538,0.019,0.164
cond_null_legacy51,0.509,0.02,0.176
cond_shuffled_ALL_v1,0.609,0.02,0.171
cond_shuffled_guidance,0.513,0.02,0.178
cond_shuffled_latent_endpoint_stats,0.528,0.019,0.166
cond_shuffled_legacy51,0.519,0.019,0.168
metadata_geometry_core200,0.758,0.011,0.094
