held_real,held_generator,auroc_own_sd30,auroc_own_other30,D_transfer_sd->other,D_transfer_other->sd,B_agreement_residual_auroc(fake higher)
aigc_benchmark_real,ADM,0.7384000000000001,0.4748,0.6278,0.7216,0.476
aigc_benchmark_real,BigGAN,0.7068,0.6388,0.441,0.5126000000000001,0.6482
aigc_benchmark_real,DALLE2,0.5108,0.4642,0.633,0.6282000000000001,0.5428000000000001
aigc_benchmark_real,GLIDE,0.5968,0.398,0.3124,0.7602,0.804
aigc_benchmark_real,Midjourney,0.6002000000000001,0.32280000000000003,0.39420000000000005,0.5832,0.33360000000000006
aigc_benchmark_real,SD14,0.6468,0.635,0.29440000000000005,0.8338,0.533
aigc_benchmark_real,SD15,0.5142,0.6712,0.2956,0.7861999999999999,0.4364
aigc_benchmark_real,SDXL,0.3956,0.45280000000000004,0.5464,0.5754,0.5922000000000001
aigc_benchmark_real,VQDM,0.6571999999999999,0.8096000000000001,0.2396,0.6646,0.7498
aigc_benchmark_real,Wukong,0.28059999999999996,0.4368000000000001,0.4358,0.5138,0.4648
rrdataset_real,ADM,0.6428,0.4316,0.3404,0.6392000000000001,0.5684
rrdataset_real,BigGAN,0.5172,0.4304,0.7052,0.5775999999999999,0.5267999999999999
rrdataset_real,DALLE2,0.5656,0.2392,0.49240000000000006,0.3012,0.5844
rrdataset_real,GLIDE,0.7876,0.5347999999999999,0.5724,0.1476,0.8072
rrdataset_real,Midjourney,0.6015999999999999,0.536,0.5024,0.418,0.4124
rrdataset_real,SD14,0.7192000000000001,0.6356,0.296,0.6788000000000001,0.5624
rrdataset_real,SD15,0.6355999999999999,0.5548,0.3272,0.6859999999999999,0.43879999999999997
rrdataset_real,SDXL,0.5052,0.5488,0.338,0.6524,0.5636000000000001
rrdataset_real,VQDM,0.6132,0.5192,0.4656,0.2328,0.712
rrdataset_real,Wukong,0.4608,0.402,0.584,0.6508,0.47640000000000005
