,SD1.5,SD1.5,SD1.5,SD1.5,SD1.5,cifar32,cifar32,cifar32,cifar32,cifar32
,pixel_roundtrip_mse,eps_mean,endpoint_norm_per_dim,path_length,endpoint_kurtosis,pixel_roundtrip_mse,eps_mean,endpoint_norm_per_dim,path_length,endpoint_kurtosis
aigc_benchmark_real,-0.08546521896972215,0.11025287738767363,0.11517028876355526,-0.12112587164893535,-0.12191223241740909,-0.2232616998181971,0.11354062452966696,0.02789013641672648,-0.21208235009317813,-0.1252296769513252
rrdataset_real,0.1709304379394449,-0.2205057547753395,-0.2303405775271131,0.2422517432978707,0.24382446483481834,0.4465233996363942,-0.2270812490593339,-0.05578027283345219,0.42416470018635527,0.2504593539026506
ADM,0.056828402269643155,0.8262822492465388,0.5896551881645132,-0.38906988200960013,-0.07290273538208826,-0.568167426541942,-0.3494000519596052,-0.4319859309747045,-0.7295400899710379,-0.20792031091679347
BigGAN,-0.25029037878444726,0.670755563039058,0.6469173345106334,0.09068146371942294,-0.047315092522067545,-0.1434780333247931,-0.05403185152060468,-0.25956979550959836,-0.23080044721142665,0.6478757953965226
DALLE2,-0.03164844873122436,-0.4497297644033181,-0.4539652021254568,0.28093881080169864,0.16714932984337844,-0.4056995411286819,0.29719482697693916,0.2956730643325756,-0.24048173248465254,-0.31326361201318587
GLIDE,-0.7710948384641361,0.07479221046497979,-0.4398967181400481,2.8897122996799145,0.06258584101617068,0.5731427584705089,-1.0957518550884866,-1.1039014674409389,0.8097125063931111,1.2251063491734238
Midjourney,-0.23290680343189651,0.10825697782347556,-0.006820557239719539,0.18980510138002976,0.008993773001364107,0.11130627419785998,-0.302967421524627,-0.2887065803846226,0.06836956115402588,0.08465432595054198
SD14,-0.6915466561410173,-0.0873470987393432,-0.34369329957836875,-0.40454229254301954,0.4754402587410674,-0.6098847578534808,-0.20297250319445953,-0.3220021638227963,-0.9891260947162327,0.49346049605561154
SD15,-0.5233941997990607,-0.0008212891962118813,-0.27984180893848026,-0.5826849607441679,0.34418765459416556,-0.5558601180103411,-0.11023797616903565,-0.2890593116776531,-0.9564325467160906,0.33265937784921346
SDXL,0.24683006065210938,-0.507942951617351,-0.619638801616341,-1.078433371293025,0.35810147004843224,-0.8782832060622519,-0.055962199292439285,-0.10439415889983017,-1.1973794196050176,-0.08202286847975436
VQDM,-0.7914036786951227,1.0057888724512465,0.4850031698608348,1.982348677041084,-0.09235895301819828,-0.18551206645457385,-1.5522472254407933,-1.7889368900600255,-0.19803008443537784,0.8725478382459902
Wukong,0.9397074206764991,-0.33545748581278967,-0.15089048786576492,-0.387855925455408,0.16322710878565241,-0.6033208384769355,1.0950340459446815,1.1467535525864962,-0.6619716697767476,-0.2924109247383755
