held_real,held_generator,auroc_own_sd30,auroc_own_other30,D_transfer_sd->other,D_transfer_other->sd,B_agreement_residual_auroc(fake higher)
aigc_benchmark_real,ADM,0.722,0.78,0.748,0.656,0.358
aigc_benchmark_real,BigGAN,0.652,0.6620000000000001,0.6719999999999999,0.5920000000000001,0.646
aigc_benchmark_real,DALLE2,0.41,0.34,0.322,0.528,0.546
aigc_benchmark_real,GLIDE,0.694,0.73,0.808,0.5680000000000001,0.8200000000000001
aigc_benchmark_real,Midjourney,0.592,0.558,0.562,0.554,0.54
aigc_benchmark_real,SD14,0.528,0.614,0.544,0.5660000000000001,0.41000000000000003
aigc_benchmark_real,SD15,0.534,0.606,0.522,0.556,0.562
aigc_benchmark_real,SDXL,0.42400000000000004,0.602,0.43,0.556,0.6340000000000001
aigc_benchmark_real,VQDM,0.674,0.6659999999999999,0.716,0.496,0.714
aigc_benchmark_real,Wukong,0.244,0.20400000000000001,0.266,0.26,0.62
rrdataset_real,ADM,0.402,0.488,0.382,0.41600000000000004,0.468
rrdataset_real,BigGAN,0.6539999999999999,0.756,0.6499999999999999,0.71,0.51
rrdataset_real,DALLE2,0.176,0.252,0.08,0.43999999999999995,0.52
rrdataset_real,GLIDE,0.55,0.514,0.334,0.598,0.76
rrdataset_real,Midjourney,0.556,0.544,0.41200000000000003,0.598,0.544
rrdataset_real,SD14,0.604,0.616,0.518,0.59,0.44000000000000006
rrdataset_real,SD15,0.6940000000000001,0.638,0.524,0.632,0.594
rrdataset_real,SDXL,0.472,0.48600000000000004,0.276,0.598,0.43
rrdataset_real,VQDM,0.6439999999999999,0.668,0.598,0.668,0.684
rrdataset_real,Wukong,0.336,0.442,0.37,0.42399999999999993,0.644
