,SD1.5,SD1.5,SD1.5,SD1.5,SD1.5,dit_core200,dit_core200,dit_core200,dit_core200,dit_core200
,pixel_roundtrip_mse,eps_mean,endpoint_norm_per_dim,path_length,endpoint_kurtosis,pixel_roundtrip_mse,eps_mean,endpoint_norm_per_dim,path_length,endpoint_kurtosis
aigc_benchmark_real,-0.10348365726390238,0.06773342763878971,0.0883986679721676,-0.23872716017309964,-0.18262908427312893,-0.03968961062017886,0.045418604445540176,0.06005960697932803,-0.2694953886299671,-0.14082468819351926
rrdataset_real,0.10348365726390268,-0.06773342763878604,-0.08839866797217233,0.23872716017310147,0.18262908427312913,0.03968961062017886,-0.04541860444554251,-0.060059606979331326,0.26949538862996797,0.14082468819351915
ADM,-0.07782659703486762,0.730427228862496,0.629193734696771,-0.3597875197676248,-0.30012889961326045,-0.48851009572483806,0.4389012122435203,0.3970948517752003,-0.3886559926092092,-0.19771600365811887
BigGAN,-0.857523311770613,1.0341851268342066,0.7857002518575668,0.5215406048406108,0.09645820058005374,-0.49244713091663544,0.6197523060365643,0.4966419738960615,0.4035630056832784,0.18929536595185809
DALLE2,-0.1663787648492602,-0.5381249416165251,-0.30750415850443796,-0.2744393875049049,-0.084146125495419,0.1246287196921886,-0.35249219032565693,-0.15973453915204502,-0.3949090974742397,-0.05496046130822433
GLIDE,-0.9048075833869297,0.02419329295437262,-0.30690297529172816,2.5036469414478506,0.019397120876785297,1.3984251784705841,-0.5250469355763349,-0.5430729137298429,1.9978010673298556,0.24270119368427256
Midjourney,-0.34166317877733465,0.39889278193758393,0.20065752715534707,-0.11807551682726822,0.12351373566016631,-0.9253243172234514,-0.01288910738630618,-0.015405389262219666,-0.2087010215090778,-0.026665643685540676
SD14,-0.5540241182770138,0.2519265324790791,0.16285419373399448,-0.5517221972622106,0.2461367562078169,-0.8276781662290268,0.0618915943343287,0.08048044052731583,-0.6835783527223768,0.3659540433833365
SD15,-0.25184134648702294,0.24719164688771555,-0.09280434784451959,-0.5267932268982384,0.2560801264848464,-0.4051233516499406,-0.2895600942225965,-0.32013079307960857,-0.7906167517611468,0.44755199967313747
SDXL,0.04743994130576382,-0.5930239958715873,-0.73441811974639,-0.9826408673383439,0.5142347710953822,-1.2932653885793606,-0.7632399363643801,-0.8084464644483682,-1.1444887859218014,0.3275223750809295
VQDM,-0.7291641991992152,0.7597702184767707,0.2485738894307225,1.9830218556706651,-0.08818267528576078,0.5687119117818155,-0.3934785062956221,-0.5063371917161053,1.5685807439448303,0.5683740653150807
Wukong,0.3743211404612783,-0.43763164234495316,-0.20721610425468803,-0.46468542563296467,0.10944981409392911,-0.06274942616585932,0.020898627877775307,0.13915330576211718,-0.602474648418162,0.21178755686863318
