feature,family,coef,univariate_auroc,univariate_auroc_direction_free,paired_cohens_d,frac_pairs_fake_higher,sign_stability,boot_coef_std,boot_coef_iqr,boot_ci_lo,boot_ci_hi,abs_coef,abs_coef_rank,sign
rich_score_t1_v_autocorr,rich_score_spatial,0.10657002609933303,0.8633333333333333,0.8633333333333333,1.2588136612488585,0.85,1.0,0.013218790278680264,0.018450800296331712,0.07084090729298291,0.12107937100113139,0.10657002609933303,1,1
rich_score_relchange_middle,rich_score_dynamics,-0.10473030676869301,0.12833333333333335,0.8716666666666666,-1.1910170545180847,0.1,1.0,0.013584397430628753,0.0181247632857008,-0.1104790091655029,-0.05911224701212538,0.10473030676869301,2,-1
rich_score_t3_v_autocorr,rich_score_spatial,0.09736873490866912,0.8911111111111111,0.8911111111111111,1.3313628076212285,0.9,1.0,0.011701355532244778,0.015941701898833385,0.06366095833972625,0.10875828565894506,0.09736873490866912,3,1
rich_score_t2_v_autocorr,rich_score_spatial,0.09634982585662868,0.8713888888888889,0.8713888888888889,1.28396274838199,0.8333333333333334,1.0,0.012507100153600527,0.017037346224379454,0.06251605388979309,0.11011317497217027,0.09634982585662868,4,1
rich_score_relchange_t3,rich_score_dynamics,-0.09593310753201971,0.2338888888888889,0.7661111111111111,-0.7313766345818998,0.18333333333333332,1.0,0.01763455679430674,0.024247797187125747,-0.10733781316695547,-0.037407190700188456,0.09593310753201971,5,-1
rich_score_t3_fft_high_low,rich_score_fft,-0.0881410025023904,0.04555555555555557,0.9544444444444444,-1.5309921767843295,0.06666666666666667,1.0,0.011590387839093347,0.0171394233758327,-0.09722147150032422,-0.05187338888396169,0.0881410025023904,6,-1
rich_score_t4_v_autocorr,rich_score_spatial,0.08461681550617527,0.8352777777777778,0.8352777777777778,1.0957503519496088,0.8666666666666667,1.0,0.011773779190449347,0.016010295211125097,0.050135607420395654,0.09441676191995517,0.08461681550617527,7,1
rich_score_t3_fft_low,rich_score_fft,0.08384060513666886,0.9483333333333333,0.9483333333333333,1.4182809211504623,0.9333333333333333,1.0,0.012233133020335246,0.016529067177704485,0.04589045832433618,0.09466910079768563,0.08384060513666886,8,1
rich_latent_t2_skew,rich_latent_typicality,-0.08239036510974344,0.38611111111111107,0.6138888888888889,-0.3458865638817056,0.35,1.0,0.013406774692841473,0.017885524047891198,-0.09439160526025583,-0.041359419573790385,0.08239036510974344,9,-1
rich_score_t1_fft_centroid,rich_score_fft,-0.08089859702087149,0.06972222222222223,0.9302777777777778,-1.5436661346511706,0.1,1.0,0.011378080799524197,0.017550945727669437,-0.09786028270335141,-0.055030701834473325,0.08089859702087149,10,-1
rich_latent_t3_skew,rich_latent_typicality,-0.08087612485789647,0.4386111111111111,0.5613888888888889,-0.24892659690600377,0.38333333333333336,1.0,0.014865379975644416,0.019977897378197267,-0.09153841911452423,-0.03370254241322261,0.08087612485789647,11,-1
rich_score_t3_fft_centroid,rich_score_fft,-0.07954248981676866,0.05138888888888889,0.9486111111111111,-1.6388855594825933,0.03333333333333333,1.0,0.009266071998533356,0.013039571466915811,-0.09087451090130304,-0.05424980996137788,0.07954248981676866,12,-1
rich_score_relchange_t2,rich_score_dynamics,-0.07862858703407176,0.17777777777777778,0.8222222222222222,-0.9176811977902182,0.18333333333333332,1.0,0.011688269503897813,0.015373402445846313,-0.08771535691306931,-0.0425521969563559,0.07862858703407176,13,-1
rich_score_t1_fft_high,rich_score_fft,-0.07817229600840618,0.09305555555555556,0.9069444444444444,-1.4337094923704494,0.1,1.0,0.009174276125360504,0.012368853635557023,-0.08964368347462401,-0.05527059040125426,0.07817229600840618,14,-1
rich_latent_t1_skew,rich_latent_typicality,-0.0766314972880918,0.3652777777777778,0.6347222222222222,-0.373320648848145,0.38333333333333336,1.0,0.013683592933527002,0.018278439759123674,-0.0890719869266116,-0.03674317842080248,0.0766314972880918,15,-1
rich_latent_t0_skew,rich_latent_typicality,-0.07662472307135935,0.3655555555555556,0.6344444444444444,-0.3729409092279934,0.38333333333333336,1.0,0.013690753347988603,0.018313309192791158,-0.08908207353814997,-0.03672493449601666,0.07662472307135935,16,-1
rich_score_t2_fft_high_low,rich_score_fft,-0.07654585299649783,0.05722222222222225,0.9427777777777777,-1.4620942169530668,0.05,1.0,0.011802408796803984,0.016622361691069044,-0.09175126779645074,-0.04666142801285357,0.07654585299649783,17,-1
rich_score_t2_fft_centroid,rich_score_fft,-0.07591645295966576,0.0663888888888889,0.9336111111111111,-1.48031293231938,0.08333333333333333,1.0,0.010887728108403381,0.01442970806997182,-0.0928006541671261,-0.05031059159911625,0.07591645295966576,18,-1
rich_latent_accel_t4,rich_latent_geometry,0.07558235480685277,0.7363888888888889,0.7363888888888889,0.745869054323514,0.7666666666666667,1.0,0.01684783458253675,0.02533943955986291,0.031854425311181454,0.09351533964736561,0.07558235480685277,19,1
rich_latent_accel_late,rich_latent_geometry,0.07558235480685277,0.7363888888888889,0.7363888888888889,0.745869054323514,0.7666666666666667,1.0,0.01684783458253675,0.02533943955986291,0.031854425311181454,0.09351533964736561,0.07558235480685277,19,1
rich_score_t2_fft_high,rich_score_fft,-0.07530462781909976,0.08916666666666667,0.9108333333333334,-1.343479517252529,0.06666666666666667,1.0,0.010636935557720446,0.015100332798795399,-0.0878992677798216,-0.04828674166530406,0.07530462781909976,21,-1
rich_score_t5_v_autocorr,rich_score_spatial,0.07454859123538499,0.8113888888888888,0.8113888888888888,1.02584723675656,0.8166666666666667,1.0,0.011880743229513891,0.016479427664133336,0.04162041088418771,0.08780373946503973,0.07454859123538499,22,1
