feature,family,coef,univariate_auroc,univariate_auroc_direction_free,paired_cohens_d,frac_pairs_fake_higher,sign_stability,boot_coef_std,boot_coef_iqr,boot_ci_lo,boot_ci_hi,abs_coef,abs_coef_rank,sign
rich_guidance_t4_skew,rich_guidance_moments,0.365119490407428,0.5941666666666666,0.5941666666666666,0.28527111185260423,0.5833333333333334,0.99,0.13678564963193685,0.18305000104916697,0.049595712804155846,0.5584555137328884,0.365119490407428,1,1
rich_guidance_t4_mean,rich_guidance_moments,0.3235389379462751,0.6227777777777778,0.6227777777777778,0.23600894809193657,0.6,0.98,0.15082563817677916,0.21047901243709338,0.025273042412795405,0.6023173361123739,0.3235389379462751,2,1
rich_guidance_t0_skew,rich_guidance_moments,0.26030079633177006,0.5175,0.5175,0.09756853641307633,0.48333333333333334,0.95,0.13903390250290046,0.18604377090665006,-0.045519431383250805,0.49625863626427313,0.26030079633177006,3,1
rich_guidance_t1_skew,rich_guidance_moments,-0.22991586060684063,0.46111111111111114,0.5388888888888889,-0.05551287030608438,0.4166666666666667,0.9766666666666667,0.12710394908076683,0.1696744345977614,-0.49678378411594715,-0.007560556677751627,0.22991586060684063,4,-1
rich_guidance_t1_maxabs,rich_guidance_moments,-0.22440683421665797,0.41388888888888886,0.5861111111111111,-0.22827466706589844,0.4166666666666667,0.9933333333333333,0.0838965508654885,0.11998467214153713,-0.36231847046850874,-0.028514951442135623,0.22440683421665797,5,-1
rich_guidance_t4_maxabs,rich_guidance_moments,0.22011926201645937,0.5875,0.5875,0.30168813880674955,0.5833333333333334,0.99,0.10956095859718647,0.14990652473299637,0.030749790081192975,0.4373547935185518,0.22011926201645937,6,1
rich_guidance_t5_nearzero,rich_guidance_moments,-0.20371458646819135,0.36944444444444446,0.6305555555555555,-0.2936858571107027,0.36666666666666664,0.98,0.09106959019738768,0.12699794274823675,-0.3551121845737889,-0.008376495869140783,0.20371458646819135,7,-1
rich_guidance_t0_maxabs,rich_guidance_moments,-0.20296283255182604,0.5438888888888888,0.5438888888888888,0.11559923470459996,0.5333333333333333,0.9166666666666666,0.10208486496531621,0.14304139577989194,-0.32840300310736603,0.04683136246482124,0.20296283255182604,8,-1
rich_guidance_t1_median,rich_guidance_moments,-0.1978933902035766,0.43166666666666675,0.5683333333333332,-0.11555928553033233,0.38333333333333336,0.9233333333333333,0.1429644808919296,0.17704341426431386,-0.492237282908982,0.0733889844323022,0.1978933902035766,9,-1
rich_guidance_t2_median,rich_guidance_moments,-0.19427539869047247,0.46444444444444444,0.5355555555555556,-0.1125477527270724,0.4166666666666667,0.9366666666666666,0.1287882151408578,0.16228873541026462,-0.44026427588918,0.07865500910366098,0.19427539869047247,10,-1
rich_guidance_t5_kurtosis,rich_guidance_moments,0.16856815149877527,0.48777777777777775,0.5122222222222222,0.19145118244423331,0.48333333333333334,0.9,0.10432287900424254,0.12099033928234099,-0.09313583021295203,0.2928782633761929,0.16856815149877527,11,1
rich_guidance_t5_q75,rich_guidance_moments,0.16639390051846242,0.6409722222222223,0.6409722222222223,0.3695807216008291,0.6333333333333333,0.96,0.0847331781895555,0.1168092671263932,-0.01241235303398518,0.3235319813224466,0.16639390051846242,12,1
rich_guidance_t5_median,rich_guidance_moments,0.16160396837653074,0.5955555555555556,0.5955555555555556,0.18719066143418925,0.5666666666666667,0.8933333333333333,0.12276538311301412,0.1689440857574625,-0.0556877008591421,0.40136759343985157,0.16160396837653074,13,1
rich_guidance_t2_var,rich_guidance_moments,-0.15310561271552658,0.39555555555555555,0.6044444444444445,-0.3378173200427389,0.36666666666666664,0.96,0.06471111890462501,0.08415493404098859,-0.23838561053246726,0.02024229347922266,0.15310561271552658,14,-1
rich_guidance_t5_q25,rich_guidance_moments,-0.1436551362288418,0.38402777777777775,0.6159722222222223,-0.25111317167219965,0.2833333333333333,0.88,0.09367680278390302,0.12223575955441023,-0.28496630132573836,0.07592059581120914,0.1436551362288418,15,-1
rich_guidance_t3_kurtosis,rich_guidance_moments,-0.14139934937088158,0.5719444444444444,0.5719444444444444,0.033163007694830965,0.5666666666666667,0.8866666666666667,0.10080405040364612,0.13293922579672307,-0.30778270354504855,0.10171954356505745,0.14139934937088158,16,-1
rich_guidance_t3_maxabs,rich_guidance_moments,-0.13812802430538054,0.3775,0.6225,-0.3514793518760809,0.35,0.8933333333333333,0.11507887136879515,0.14700161791397204,-0.3560616750297178,0.07458069031529899,0.13812802430538054,17,-1
rich_guidance_t3_skew,rich_guidance_moments,-0.1355491990585352,0.4322222222222223,0.5677777777777777,-0.11108733051978582,0.45,0.8933333333333333,0.12793926772842912,0.1767361007547596,-0.38737079886363424,0.09401523920329796,0.1355491990585352,18,-1
latent_roundtrip_mse,roundtrip,-0.13544915657512518,0.4241666666666667,0.5758333333333333,-0.10132743241159711,0.38333333333333336,0.7766666666666666,0.14556088838351314,0.19038033957575068,-0.39015592442549596,0.18906713736791717,0.13544915657512518,19,-1
rich_guidance_t0_mean,rich_guidance_moments,-0.12648043829825503,0.4780555555555556,0.5219444444444443,-0.06443059911102249,0.45,0.9066666666666666,0.09214435721748163,0.11369091504648514,-0.2902651232512005,0.07758670333187027,0.12648043829825503,20,-1
rich_guidance_t2_q75,rich_guidance_moments,-0.12631778504889532,0.3863888888888889,0.6136111111111111,-0.3504985018831543,0.38333333333333336,0.96,0.06423160573330287,0.08844865330261051,-0.2435788836427328,0.009451908309769547,0.12631778504889532,21,-1
rich_guidance_t3_q25,rich_guidance_moments,0.125271784683176,0.6236111111111111,0.6236111111111111,0.34605110477821605,0.6166666666666667,0.9566666666666667,0.0719764014795426,0.09994889239922915,-0.01664374266735938,0.2680810527068079,0.125271784683176,22,1
rich_guidance_t2_mean,rich_guidance_moments,-0.12303265761924381,0.4961111111111111,0.5038888888888888,0.03362648093275414,0.48333333333333334,0.7866666666666666,0.12966707474564562,0.17880173517308426,-0.3420183836972782,0.14278127282449915,0.12303265761924381,23,-1
rich_guidance_t1_nearzero,rich_guidance_moments,-0.12284527141262652,0.5798611111111112,0.5798611111111112,0.1306754730536818,0.65,0.8966666666666666,0.08273548708594813,0.11753467297849521,-0.25563632901804223,0.05033183402529305,0.12284527141262652,24,-1
rich_guidance_t3_mean,rich_guidance_moments,-0.1185369235756706,0.5586111111111111,0.5586111111111111,0.1056299007754711,0.5666666666666667,0.83,0.12303174706977116,0.15636523622946324,-0.3219531615810676,0.15763887244383198,0.1185369235756706,25,-1
rich_guidance_t1_mean,rich_guidance_moments,0.1140695620207566,0.5208333333333333,0.5208333333333333,0.03733509640149872,0.6166666666666667,0.7666666666666667,0.13030699680557647,0.1687598189392448,-0.15781747354502454,0.36004553695161284,0.1140695620207566,26,1
rich_guidance_t5_mean,rich_guidance_moments,-0.11110479841370469,0.5394444444444445,0.5394444444444445,0.11500077734405019,0.5,0.68,0.13203302419573001,0.17810479032945306,-0.3061075136602698,0.20373961884731626,0.11110479841370469,27,-1
rich_guidance_t0_median,rich_guidance_moments,0.10981133186720049,0.5509722222222223,0.5509722222222223,0.13597518389065624,0.5333333333333333,0.8,0.11515396301613855,0.15299671115093547,-0.11428345001267272,0.3300435411893358,0.10981133186720049,28,1
rich_guidance_t5_var,rich_guidance_moments,-0.10868037664704319,0.6263888888888889,0.6263888888888889,0.2652512847694808,0.65,0.8466666666666667,0.07670851222773714,0.10798876476230429,-0.2152553840822105,0.08030601510204848,0.10868037664704319,29,-1
rich_guidance_t4_q25,rich_guidance_moments,0.10583213193304764,0.5297222222222222,0.5297222222222222,0.09684706806886731,0.55,0.9,0.06911211860237997,0.09347976702335174,-0.0387734677557751,0.2215096819910517,0.10583213193304764,30,1
rich_guidance_t2_kurtosis,rich_guidance_moments,0.0985219233235918,0.523611111111111,0.523611111111111,0.11562311446831701,0.4,0.8333333333333334,0.1055042400037947,0.140232175993865,-0.08092816829832607,0.3014168472357042,0.0985219233235918,31,1
rich_guidance_t2_nearzero,rich_guidance_moments,-0.09834105860909,0.6076388888888888,0.6076388888888888,0.22919272262139045,0.6,0.8033333333333333,0.081518228750422,0.11518908889863842,-0.2291611249347673,0.07893205116181255,0.09834105860909,32,-1
pixel_roundtrip_mse,roundtrip,-0.09807128669946712,0.40694444444444444,0.5930555555555556,-0.13412508458327002,0.45,0.83,0.10930416857110711,0.14874008152896742,-0.32574683413161715,0.11536264993808024,0.09807128669946712,33,-1
rich_guidance_t1_kurtosis,rich_guidance_moments,-0.09686528588305768,0.4638888888888889,0.5361111111111111,-0.04502794281093793,0.5,0.9366666666666666,0.09556116787759768,0.13976962652364916,-0.3236524483006849,0.03093625159289883,0.09686528588305768,34,-1
rich_guidance_t0_q05,rich_guidance_moments,-0.09328026099719239,0.42250000000000004,0.5774999999999999,-0.21961576132256308,0.4666666666666667,1.0,0.033058505767280214,0.040669973842786436,-0.15880306310277784,-0.03469669220359989,0.09328026099719239,35,-1
rich_guidance_t4_q75,rich_guidance_moments,-0.09242675071105594,0.48736111111111113,0.5126388888888889,-0.07512968497891946,0.48333333333333334,0.8866666666666667,0.06759134220461588,0.09822489111146922,-0.20559819222083558,0.05104969193228679,0.09242675071105594,36,-1
