feature,sd15_coef,amused_coef,sd15_abs_rank,amused_abs_rank,family,sd15_sign,amused_sign,sign_agree,min_abs_rank
rich_score_t1_v_autocorr,0.09066071779548707,0.10657002609933303,61,1,rich_score_spatial,1,1,True,1
rich_guidance_t2_median,-0.23877913542401244,0.029787109313200104,1,206,rich_guidance_moments,-1,1,False,1
rich_score_relchange_middle,0.012728506311165672,-0.10473030676869301,501,2,rich_score_dynamics,1,-1,False,2
rich_guidance_t4_mean,0.21152449189248215,0.03344085611765689,2,174,rich_guidance_moments,1,1,True,2
rich_score_t3_v_autocorr,0.07851068491424258,0.09736873490866912,83,3,rich_score_spatial,1,1,True,3
rich_guidance_t0_skew,0.20324776710872766,-0.003758700333109283,3,601,rich_guidance_moments,1,-1,False,3
rich_guidance_t4_skew,0.19328233703427591,-0.010555912895968191,4,486,rich_guidance_moments,1,-1,False,4
rich_score_t2_v_autocorr,0.10584722003488284,0.09634982585662868,40,4,rich_score_spatial,1,1,True,4
rich_score_relchange_t3,0.014812947875272266,-0.09593310753201971,481,5,rich_score_dynamics,1,-1,False,5
rich_score_t5_nearzero,-0.19254244847742036,-0.024907417944983506,5,257,rich_score_moments,-1,-1,True,5
rich_guidance_t5_median,0.18879194734444676,0.021166777725568162,6,315,rich_guidance_moments,1,1,True,6
rich_score_t3_fft_high_low,0.04481111257111069,-0.0881410025023904,226,6,rich_score_fft,1,-1,False,6
rich_score_t4_v_autocorr,0.034732273191662104,0.08461681550617527,318,7,rich_score_spatial,1,1,True,7
rich_guidance_t3_median,-0.17669106352398928,0.02903389446292806,7,211,rich_guidance_moments,-1,1,False,7
rich_score_t0_mean,-0.16148239198309258,0.04840271020773814,8,86,rich_score_moments,-1,1,False,8
rich_score_t3_fft_low,-0.03689661795894995,0.08384060513666886,300,8,rich_score_fft,-1,1,False,8
rich_score_t3_nearzero,-0.1522397385037417,0.061308277610915694,9,48,rich_score_moments,-1,1,False,9
rich_latent_t2_skew,-0.05450379001492947,-0.08239036510974344,175,9,rich_latent_typicality,-1,-1,True,9
rich_score_t1_fft_centroid,-0.03092916683745996,-0.08089859702087149,344,10,rich_score_fft,-1,-1,True,10
rich_latent_step_t5,-0.1492460038022385,0.02743526088669049,10,231,rich_latent_geometry,-1,1,False,10
rich_score_t0_kurtosis,0.1438660011442752,-0.05380311404464768,11,71,rich_score_moments,1,-1,False,11
rich_latent_t3_skew,-0.013270713984375834,-0.08087612485789647,496,11,rich_latent_typicality,-1,-1,True,11
rich_score_t3_fft_centroid,0.0036634462689074817,-0.07954248981676866,615,12,rich_score_fft,1,-1,False,12
rich_latent_t4_nearzero,-0.14316468112832595,0.03705758102960552,12,149,rich_latent_typicality,-1,1,False,12
rich_score_relchange_t2,0.006396431003893712,-0.07862858703407176,587,13,rich_score_dynamics,1,-1,False,13
rich_guidance_t1_kurtosis,-0.1387938578974178,0.009536213942051546,13,500,rich_guidance_moments,-1,1,False,13
rich_latent_step_slope,-0.13744417789533556,0.01871039881818891,14,351,rich_latent_geometry,-1,1,False,14
rich_score_t1_fft_high,-0.02556382107323688,-0.07817229600840618,372,14,rich_score_fft,-1,-1,True,14
rich_latent_t1_skew,-0.08095801678358569,-0.0766314972880918,77,15,rich_latent_typicality,-1,-1,True,15
rich_guidance_dz_orthfrac_t4,-0.13621131746349982,-0.018810082200269557,15,350,rich_alignment,-1,-1,True,15
rich_latent_t0_skew,-0.0809226300487211,-0.07662472307135935,78,16,rich_latent_typicality,-1,-1,True,16
rich_latent_step_late,-0.1357410824866991,0.030352046571812466,16,201,rich_latent_geometry,-1,1,False,16
rich_guidance_t3_skew,-0.13372563188719616,-0.03681218560224389,17,152,rich_guidance_moments,-1,-1,True,17
rich_score_t2_fft_high_low,0.007670792232423692,-0.07654585299649783,571,17,rich_score_fft,1,-1,False,17
rich_guidance_t1_maxabs,-0.1310632475894266,0.00972236132915154,18,497,rich_guidance_moments,-1,1,False,18
rich_score_t2_fft_centroid,-0.01949660777009091,-0.07591645295966576,427,18,rich_score_fft,-1,-1,True,18
rich_latent_accel_t4,0.028288948692166315,0.07558235480685277,353,19,rich_latent_geometry,1,1,True,19
rich_latent_accel_late,0.028288948692166315,0.07558235480685277,353,19,rich_latent_geometry,1,1,True,19
rich_guidance_dz_orthfrac_t2,0.12955217915772244,0.016775009844294586,19,379,rich_alignment,1,1,True,19
rich_latent_step_t3,-0.12798434247003954,0.03826626259982737,20,143,rich_latent_geometry,-1,1,False,20
rich_score_t2_fft_high,-0.05178445673666087,-0.07530462781909976,186,21,rich_score_fft,-1,-1,True,21
rich_latent_t2_nearzero,0.12636423145714748,-0.012256978521864217,21,455,rich_latent_typicality,1,-1,False,21
rich_score_t5_v_autocorr,0.061298701767696674,0.07454859123538499,146,22,rich_score_spatial,1,1,True,22
rich_latent_step_mean,-0.12455705335347769,0.042736797301636015,22,118,rich_latent_geometry,-1,1,False,22
speed_mean,-0.12455705335347769,0.042736797301636015,22,118,legacy_geometry,-1,1,False,22
rich_score_t3_fft_high,-0.03483868720043515,-0.07425290428201155,316,23,rich_score_fft,-1,-1,True,23
rich_score_t4_fft_high_low,0.024339926764831744,-0.07290988514309277,384,24,rich_score_fft,1,-1,False,24
path_length,-0.12455705335347764,0.042736797301636036,24,117,legacy_geometry,-1,1,False,24
rich_guidance_t1_median,-0.12342847927165795,-0.00022175722737936566,25,647,rich_guidance_moments,-1,-1,True,25
rich_score_t1_fft_low,0.04930835523525202,0.07276147852089339,197,25,rich_score_fft,1,1,True,25
latent_roundtrip_mse,-0.12340582403358355,-0.0012803225520399105,26,634,roundtrip,-1,-1,True,26
rich_score_t1_fft_high_low,-0.04827145772853863,-0.07249635808240396,201,26,rich_score_fft,-1,-1,True,26
rich_score_t1_channel_ratio,-0.03359412883046277,-0.07244558337507022,328,27,rich_score_spatial,-1,-1,True,27
rich_guidance_t5_mean,0.12260195398178117,0.01119606520538623,27,473,rich_guidance_moments,1,1,True,27
rich_latent_step_t4,-0.12173808799684675,0.03289633290476777,28,183,rich_latent_geometry,-1,1,False,28
rich_score_t5_q25,-0.023846317066359982,0.07106671775719356,390,28,rich_score_moments,-1,1,False,28
rich_score_t1_channel_pr,0.0032761645328864,0.06906681190724552,623,29,rich_score_spatial,1,1,True,29
