feature,family,coarse_groups
eps_mean,legacy_noise,"legacy51,trajectory_noise"
eps_min,legacy_noise,"legacy51,trajectory_noise"
eps_max,legacy_noise,"legacy51,trajectory_noise"
eps_std,legacy_noise,"legacy51,trajectory_noise"
eps_early,legacy_noise,"legacy51,trajectory_noise"
eps_middle,legacy_noise,"legacy51,trajectory_noise"
eps_late,legacy_noise,"legacy51,trajectory_noise"
eps_first_last,legacy_noise,"legacy51,trajectory_noise"
eps_slope,legacy_noise,"legacy51,trajectory_noise"
eps_auc,legacy_noise,"legacy51,trajectory_noise"
eps_late_early,legacy_noise,"legacy51,trajectory_noise"
eps_median,legacy_noise,"legacy51,trajectory_noise"
guidance_mean,legacy_guidance,"legacy51,guidance"
guidance_max,legacy_guidance,"legacy51,guidance"
guidance_std,legacy_guidance,"legacy51,guidance"
guidance_early,legacy_guidance,"legacy51,guidance"
guidance_middle,legacy_guidance,"legacy51,guidance"
guidance_late,legacy_guidance,"legacy51,guidance"
guidance_slope,legacy_guidance,"legacy51,guidance"
guidance_auc,legacy_guidance,"legacy51,guidance"
eps_t0,legacy_noise,"legacy51,trajectory_noise"
eps_t1,legacy_noise,"legacy51,trajectory_noise"
eps_t2,legacy_noise,"legacy51,trajectory_noise"
eps_t3,legacy_noise,"legacy51,trajectory_noise"
eps_t4,legacy_noise,"legacy51,trajectory_noise"
eps_t5,legacy_noise,"legacy51,trajectory_noise"
guidance_t0,legacy_guidance,"legacy51,guidance"
guidance_t1,legacy_guidance,"legacy51,guidance"
guidance_t2,legacy_guidance,"legacy51,guidance"
guidance_t3,legacy_guidance,"legacy51,guidance"
guidance_t4,legacy_guidance,"legacy51,guidance"
guidance_t5,legacy_guidance,"legacy51,guidance"
pixel_roundtrip_mse,roundtrip,"legacy51,reconstruction_roundtrip"
latent_roundtrip_mse,roundtrip,"legacy51,reconstruction_roundtrip"
endpoint_norm_per_dim,endpoint,"legacy51,latent_endpoint_stats"
endpoint_mean,endpoint,"legacy51,latent_endpoint_stats"
endpoint_var,endpoint,"legacy51,latent_endpoint_stats"
endpoint_skew,endpoint,"legacy51,latent_endpoint_stats"
endpoint_kurtosis,endpoint,"legacy51,latent_endpoint_stats"
endpoint_extreme_fraction,endpoint,"legacy51,latent_endpoint_stats"
path_length,legacy_geometry,"legacy51,latent_geometry"
speed_mean,legacy_geometry,"legacy51,latent_geometry"
speed_max,legacy_geometry,"legacy51,latent_geometry"
acceleration_abs_mean,legacy_geometry,"legacy51,latent_geometry"
rich_score_t0_mean,rich_score_moments,score_moments
rich_score_t0_var,rich_score_moments,score_moments
rich_score_t0_skew,rich_score_moments,score_moments
rich_score_t0_kurtosis,rich_score_moments,score_moments
rich_score_t0_q05,rich_score_moments,score_moments
rich_score_t0_q25,rich_score_moments,score_moments
rich_score_t0_median,rich_score_moments,score_moments
rich_score_t0_q75,rich_score_moments,score_moments
rich_score_t0_q95,rich_score_moments,score_moments
rich_score_t0_absmean,rich_score_moments,score_moments
rich_score_t0_rms,rich_score_moments,score_moments
rich_score_t0_maxabs,rich_score_moments,score_moments
rich_score_t0_nearzero,rich_score_moments,score_moments
rich_guidance_t0_mean,rich_guidance_moments,guidance
rich_guidance_t0_var,rich_guidance_moments,guidance
rich_guidance_t0_skew,rich_guidance_moments,guidance
rich_guidance_t0_kurtosis,rich_guidance_moments,guidance
rich_guidance_t0_q05,rich_guidance_moments,guidance
rich_guidance_t0_q25,rich_guidance_moments,guidance
rich_guidance_t0_median,rich_guidance_moments,guidance
rich_guidance_t0_q75,rich_guidance_moments,guidance
rich_guidance_t0_q95,rich_guidance_moments,guidance
rich_guidance_t0_absmean,rich_guidance_moments,guidance
rich_guidance_t0_rms,rich_guidance_moments,guidance
rich_guidance_t0_maxabs,rich_guidance_moments,guidance
rich_guidance_t0_nearzero,rich_guidance_moments,guidance
rich_score_t0_channel_cv,rich_score_spatial,spatial
rich_score_t0_channel_ratio,rich_score_spatial,spatial
rich_score_t0_channel_pr,rich_score_spatial,spatial
rich_score_t0_h_autocorr,rich_score_spatial,spatial
rich_score_t0_v_autocorr,rich_score_spatial,spatial
rich_score_t0_fft_low,rich_score_fft,fft
rich_score_t0_fft_mid,rich_score_fft,fft
rich_score_t0_fft_high,rich_score_fft,fft
rich_score_t0_fft_high_low,rich_score_fft,fft
rich_score_t0_fft_entropy,rich_score_fft,fft
rich_score_t0_fft_centroid,rich_score_fft,fft
rich_latent_t0_mean,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_var,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_skew,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_kurtosis,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_q05,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_q25,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_median,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_q75,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_q95,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_absmean,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_rms,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_maxabs,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_nearzero,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_extreme3,rich_latent_typicality,latent_endpoint_stats
rich_latent_t0_pr,rich_latent_typicality,latent_endpoint_stats
rich_score_t1_mean,rich_score_moments,score_moments
rich_score_t1_var,rich_score_moments,score_moments
rich_score_t1_skew,rich_score_moments,score_moments
rich_score_t1_kurtosis,rich_score_moments,score_moments
rich_score_t1_q05,rich_score_moments,score_moments
rich_score_t1_q25,rich_score_moments,score_moments
rich_score_t1_median,rich_score_moments,score_moments
rich_score_t1_q75,rich_score_moments,score_moments
rich_score_t1_q95,rich_score_moments,score_moments
rich_score_t1_absmean,rich_score_moments,score_moments
rich_score_t1_rms,rich_score_moments,score_moments
rich_score_t1_maxabs,rich_score_moments,score_moments
rich_score_t1_nearzero,rich_score_moments,score_moments
rich_guidance_t1_mean,rich_guidance_moments,guidance
rich_guidance_t1_var,rich_guidance_moments,guidance
rich_guidance_t1_skew,rich_guidance_moments,guidance
rich_guidance_t1_kurtosis,rich_guidance_moments,guidance
rich_guidance_t1_q05,rich_guidance_moments,guidance
rich_guidance_t1_q25,rich_guidance_moments,guidance
rich_guidance_t1_median,rich_guidance_moments,guidance
rich_guidance_t1_q75,rich_guidance_moments,guidance
rich_guidance_t1_q95,rich_guidance_moments,guidance
rich_guidance_t1_absmean,rich_guidance_moments,guidance
rich_guidance_t1_rms,rich_guidance_moments,guidance
rich_guidance_t1_maxabs,rich_guidance_moments,guidance
rich_guidance_t1_nearzero,rich_guidance_moments,guidance
rich_score_t1_channel_cv,rich_score_spatial,spatial
rich_score_t1_channel_ratio,rich_score_spatial,spatial
rich_score_t1_channel_pr,rich_score_spatial,spatial
rich_score_t1_h_autocorr,rich_score_spatial,spatial
rich_score_t1_v_autocorr,rich_score_spatial,spatial
rich_score_t1_fft_low,rich_score_fft,fft
rich_score_t1_fft_mid,rich_score_fft,fft
rich_score_t1_fft_high,rich_score_fft,fft
rich_score_t1_fft_high_low,rich_score_fft,fft
rich_score_t1_fft_entropy,rich_score_fft,fft
rich_score_t1_fft_centroid,rich_score_fft,fft
rich_latent_t1_mean,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_var,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_skew,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_kurtosis,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_q05,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_q25,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_median,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_q75,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_q95,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_absmean,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_rms,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_maxabs,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_nearzero,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_extreme3,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_pr,rich_latent_typicality,latent_endpoint_stats
rich_score_t2_mean,rich_score_moments,score_moments
rich_score_t2_var,rich_score_moments,score_moments
rich_score_t2_skew,rich_score_moments,score_moments
rich_score_t2_kurtosis,rich_score_moments,score_moments
rich_score_t2_q05,rich_score_moments,score_moments
rich_score_t2_q25,rich_score_moments,score_moments
rich_score_t2_median,rich_score_moments,score_moments
rich_score_t2_q75,rich_score_moments,score_moments
rich_score_t2_q95,rich_score_moments,score_moments
rich_score_t2_absmean,rich_score_moments,score_moments
rich_score_t2_rms,rich_score_moments,score_moments
rich_score_t2_maxabs,rich_score_moments,score_moments
rich_score_t2_nearzero,rich_score_moments,score_moments
rich_guidance_t2_mean,rich_guidance_moments,guidance
rich_guidance_t2_var,rich_guidance_moments,guidance
rich_guidance_t2_skew,rich_guidance_moments,guidance
rich_guidance_t2_kurtosis,rich_guidance_moments,guidance
