feature,family,coef,sign,univariate_auroc_direction_free,paired_cohens_d,sign_stability,rank_in_other_task,other_task_coef,other_task_sign_agree
rich_score_t1_v_autocorr,rich_score_spatial,0.10657002609933303,1,0.8633333333333333,1.2588136612488585,1.0,61,0.09066071779548707,True
rich_score_relchange_middle,rich_score_dynamics,-0.10473030676869301,-1,0.8716666666666666,-1.1910170545180847,1.0,501,0.012728506311165672,False
rich_score_t3_v_autocorr,rich_score_spatial,0.09736873490866912,1,0.8911111111111111,1.3313628076212285,1.0,83,0.07851068491424258,True
rich_score_t2_v_autocorr,rich_score_spatial,0.09634982585662868,1,0.8713888888888889,1.28396274838199,1.0,40,0.10584722003488284,True
rich_score_relchange_t3,rich_score_dynamics,-0.09593310753201971,-1,0.7661111111111111,-0.7313766345818998,1.0,481,0.014812947875272266,False
rich_score_t3_fft_high_low,rich_score_fft,-0.0881410025023904,-1,0.9544444444444444,-1.5309921767843295,1.0,226,0.04481111257111069,False
rich_score_t4_v_autocorr,rich_score_spatial,0.08461681550617527,1,0.8352777777777778,1.0957503519496088,1.0,318,0.034732273191662104,True
rich_score_t3_fft_low,rich_score_fft,0.08384060513666886,1,0.9483333333333333,1.4182809211504623,1.0,300,-0.03689661795894995,False
rich_latent_t2_skew,rich_latent_typicality,-0.08239036510974344,-1,0.6138888888888889,-0.3458865638817056,1.0,175,-0.05450379001492947,True
rich_score_t1_fft_centroid,rich_score_fft,-0.08089859702087149,-1,0.9302777777777778,-1.5436661346511706,1.0,344,-0.03092916683745996,True
rich_latent_t3_skew,rich_latent_typicality,-0.08087612485789647,-1,0.5613888888888889,-0.24892659690600377,1.0,496,-0.013270713984375834,True
rich_score_t3_fft_centroid,rich_score_fft,-0.07954248981676866,-1,0.9486111111111111,-1.6388855594825933,1.0,615,0.0036634462689074817,False
rich_score_relchange_t2,rich_score_dynamics,-0.07862858703407176,-1,0.8222222222222222,-0.9176811977902182,1.0,587,0.006396431003893712,False
rich_score_t1_fft_high,rich_score_fft,-0.07817229600840618,-1,0.9069444444444444,-1.4337094923704494,1.0,372,-0.02556382107323688,True
rich_latent_t1_skew,rich_latent_typicality,-0.0766314972880918,-1,0.6347222222222222,-0.373320648848145,1.0,77,-0.08095801678358569,True
rich_latent_t0_skew,rich_latent_typicality,-0.07662472307135935,-1,0.6344444444444444,-0.3729409092279934,1.0,78,-0.0809226300487211,True
rich_score_t2_fft_high_low,rich_score_fft,-0.07654585299649783,-1,0.9427777777777777,-1.4620942169530668,1.0,571,0.007670792232423692,False
rich_score_t2_fft_centroid,rich_score_fft,-0.07591645295966576,-1,0.9336111111111111,-1.48031293231938,1.0,427,-0.01949660777009091,True
rich_latent_accel_t4,rich_latent_geometry,0.07558235480685277,1,0.7363888888888889,0.745869054323514,1.0,353,0.028288948692166315,True
rich_latent_accel_late,rich_latent_geometry,0.07558235480685277,1,0.7363888888888889,0.745869054323514,1.0,353,0.028288948692166315,True
rich_score_t2_fft_high,rich_score_fft,-0.07530462781909976,-1,0.9108333333333334,-1.343479517252529,1.0,186,-0.05178445673666087,True
rich_score_t5_v_autocorr,rich_score_spatial,0.07454859123538499,1,0.8113888888888888,1.02584723675656,1.0,146,0.061298701767696674,True
rich_score_t3_fft_high,rich_score_fft,-0.07425290428201155,-1,0.9322222222222222,-1.4234082176650227,1.0,316,-0.03483868720043515,True
rich_score_t4_fft_high_low,rich_score_fft,-0.07290988514309277,-1,0.9238888888888889,-1.3600070264228339,1.0,384,0.024339926764831744,False
rich_score_t1_fft_low,rich_score_fft,0.07276147852089339,1,0.9225,1.297800465829011,1.0,197,0.04930835523525202,True
rich_score_t1_fft_high_low,rich_score_fft,-0.07249635808240396,-1,0.9313888888888888,-1.3498312796365604,1.0,201,-0.04827145772853863,True
rich_score_t1_channel_ratio,rich_score_spatial,-0.07244558337507022,-1,0.508888888888889,-0.07140564420074118,1.0,328,-0.03359412883046277,True
rich_score_t5_q25,rich_score_moments,0.07106671775719356,1,0.9220833333333334,1.5058728351640593,1.0,390,-0.023846317066359982,False
rich_score_t1_channel_pr,rich_score_spatial,0.06906681190724552,1,0.5194444444444444,0.07296908755903486,0.998,623,0.0032761645328864,True
rich_score_t2_fft_low,rich_score_fft,0.06778454039284705,1,0.9352777777777779,1.3649090419369259,1.0,538,-0.010758851081737917,False
