feature,family,coef,sign,univariate_auroc_direction_free,paired_cohens_d,sign_stability,rank_in_other_task,other_task_coef,other_task_sign_agree
rich_guidance_t2_median,rich_guidance_moments,-0.23877913542401244,-1,0.5355555555555556,-0.1125477527270724,0.996,206,0.029787109313200104,False
rich_guidance_t4_mean,rich_guidance_moments,0.21152449189248215,1,0.6227777777777778,0.23600894809193657,0.98,174,0.03344085611765689,True
rich_guidance_t0_skew,rich_guidance_moments,0.20324776710872766,1,0.5175,0.09756853641307633,0.95,601,-0.003758700333109283,False
rich_guidance_t4_skew,rich_guidance_moments,0.19328233703427591,1,0.5941666666666666,0.28527111185260423,0.992,486,-0.010555912895968191,False
rich_score_t5_nearzero,rich_score_moments,-0.19254244847742036,-1,0.5198611111111111,-0.036439067135183516,0.976,257,-0.024907417944983506,True
rich_guidance_t5_median,rich_guidance_moments,0.18879194734444676,1,0.5955555555555556,0.18719066143418925,0.98,315,0.021166777725568162,True
rich_guidance_t3_median,rich_guidance_moments,-0.17669106352398928,-1,0.5030555555555556,-0.061737227168201333,0.944,211,0.02903389446292806,False
rich_score_t0_mean,rich_score_moments,-0.16148239198309258,-1,0.5738888888888889,-0.17680615265796343,0.986,86,0.04840271020773814,False
rich_score_t3_nearzero,rich_score_moments,-0.1522397385037417,-1,0.5480555555555555,0.13141930204110708,0.886,48,0.061308277610915694,False
rich_latent_step_t5,rich_latent_geometry,-0.1492460038022385,-1,0.5691666666666666,-0.2675548924697512,1.0,231,0.02743526088669049,False
rich_score_t0_kurtosis,rich_score_moments,0.1438660011442752,1,0.528611111111111,0.20119350532782523,0.922,71,-0.05380311404464768,False
rich_latent_t4_nearzero,rich_latent_typicality,-0.14316468112832595,-1,0.501388888888889,0.004085288173729685,0.91,149,0.03705758102960552,False
rich_guidance_t1_kurtosis,rich_guidance_moments,-0.1387938578974178,-1,0.5361111111111111,-0.04502794281093793,1.0,500,0.009536213942051546,False
rich_latent_step_slope,rich_latent_geometry,-0.13744417789533556,-1,0.5449999999999999,-0.17568940888671056,1.0,351,0.01871039881818891,False
rich_guidance_dz_orthfrac_t4,rich_alignment,-0.13621131746349982,-1,0.5597222222222222,-0.23593786162446231,0.948,350,-0.018810082200269557,True
rich_latent_step_late,rich_latent_geometry,-0.1357410824866991,-1,0.5652777777777778,-0.24874731151120102,1.0,201,0.030352046571812466,False
rich_guidance_t3_skew,rich_guidance_moments,-0.13372563188719616,-1,0.5677777777777777,-0.11108733051978582,0.888,152,-0.03681218560224389,True
rich_guidance_t1_maxabs,rich_guidance_moments,-0.1310632475894266,-1,0.5861111111111111,-0.22827466706589844,0.996,497,0.00972236132915154,False
rich_guidance_dz_orthfrac_t2,rich_alignment,0.12955217915772244,1,0.5991666666666666,0.2474600608783043,0.842,379,0.016775009844294586,True
rich_latent_step_t3,rich_latent_geometry,-0.12798434247003954,-1,0.5772222222222222,-0.29756345663437533,1.0,143,0.03826626259982737,False
rich_latent_t2_nearzero,rich_latent_typicality,0.12636423145714748,1,0.6277777777777778,0.26412725155850275,0.876,455,-0.012256978521864217,False
speed_mean,legacy_geometry,-0.12455705335347769,-1,0.5772222222222222,-0.3325134827647563,1.0,118,0.042736797301636015,False
rich_latent_step_mean,rich_latent_geometry,-0.12455705335347769,-1,0.5772222222222222,-0.3325134827647563,1.0,118,0.042736797301636015,False
path_length,legacy_geometry,-0.12455705335347764,-1,0.5772222222222222,-0.3325134827817648,1.0,117,0.042736797301636036,False
rich_guidance_t1_median,rich_guidance_moments,-0.12342847927165795,-1,0.5683333333333332,-0.11555928553033233,0.916,647,-0.00022175722737936566,True
latent_roundtrip_mse,roundtrip,-0.12340582403358355,-1,0.5758333333333333,-0.10132743241159711,0.938,634,-0.0012803225520399105,True
rich_guidance_t5_mean,rich_guidance_moments,0.12260195398178117,1,0.5394444444444445,0.11500077734405019,0.9,473,0.01119606520538623,True
rich_latent_step_t4,rich_latent_geometry,-0.12173808799684675,-1,0.5566666666666668,-0.22925753244835934,1.0,183,0.03289633290476777,False
rich_latent_t3_extreme3,rich_latent_typicality,0.12016315798672733,1,0.5863888888888888,0.24145474752665277,0.974,128,0.04205675150075455,True
rich_latent_step_auc,rich_latent_geometry,-0.11988380186896999,-1,0.5833333333333333,-0.34147731430500694,1.0,100,0.04474643045498525,False
