generator,k,held_out_auroc
sd15,1,0.5126111111111111
sd15,2,0.5975833333333334
sd15,3,0.5729166666666667
sd15,5,0.609388888888889
sd15,10,0.6490833333333333
sd15,20,0.6934444444444445
sd15,30,0.7237222222222223
sd15,50,0.9047222222222221
sd15,75,0.9232222222222222
sd15,100,0.9219166666666666
sd15,150,0.9147500000000001
sd15,250,0.8910555555555556
sd15,400,0.8516666666666668
sd15,652,0.7995555555555555
amused,1,0.8573333333333334
amused,2,0.9775833333333332
amused,3,0.9794166666666667
amused,5,0.9780000000000001
amused,10,0.9877777777777776
amused,20,0.9888611111111111
amused,30,0.9916944444444444
amused,50,0.9992222222222222
amused,75,0.9997499999999999
amused,100,0.9997777777777778
amused,150,0.9998333333333334
amused,250,0.9997777777777778
amused,400,0.9991666666666668
amused,652,0.9942500000000001
