generator,base_model,metric,delta_mean,delta_ci_lo,delta_ci_hi
sd15,VAE+curvature+path_length,auroc,0.0018880555555555478,-0.011395833333333336,0.015284722222222269
sd15,VAE+curvature+path_length,logloss,-0.008926178934016647,-0.0200101508282421,0.002153995134933813
sd15,VAE+curvature+path_length,brier,-0.0030595110865223084,-0.007759424530780926,0.0015553520577187108
sd15,VAE+score+curvature+path_length,auroc,0.0005136111111111074,-0.012222222222222249,0.01333333333333342
sd15,VAE+score+curvature+path_length,logloss,-0.008596531476656804,-0.01921282015375769,0.002408399008639542
sd15,VAE+score+curvature+path_length,brier,-0.0030060788501410965,-0.0075102062451230115,0.001603045565479475
sdxl,VAE+curvature+path_length,auroc,-0.0025663888888888893,-0.01277777777777767,0.007499999999999951
sdxl,VAE+curvature+path_length,logloss,-0.008972177634688964,-0.019108996517056154,0.0015315047467031088
sdxl,VAE+curvature+path_length,brier,-0.0020830516203595517,-0.006136549995631966,0.002345833907789636
sdxl,VAE+score+curvature+path_length,auroc,-0.0029194444444444485,-0.01277777777777778,0.0063958333333333246
sdxl,VAE+score+curvature+path_length,logloss,-0.00849292804964473,-0.01838557725000174,0.0020499057905718526
sdxl,VAE+score+curvature+path_length,brier,-0.0021122577681682605,-0.006106371191005445,0.0023723970141958277
pixart_dit,VAE+curvature+path_length,auroc,-0.0025066666666666675,-0.00694444444444442,0.0011111111111109546
pixart_dit,VAE+curvature+path_length,logloss,0.0009154921728577228,-0.0003407112146686569,0.0023368034373433665
pixart_dit,VAE+curvature+path_length,brier,0.0004547387424402931,-0.00014235418058719738,0.001166614366209472
pixart_dit,VAE+score+curvature+path_length,auroc,-0.00026361111111110634,-0.003611111111111012,0.0025000000000000577
pixart_dit,VAE+score+curvature+path_length,logloss,0.0010709773795905635,-2.653637483364384e-06,0.0024304784680802783
pixart_dit,VAE+score+curvature+path_length,brier,0.0004922751673001967,-2.9623926043798035e-05,0.0011484614384083879
amused,VAE+curvature+path_length,auroc,-0.0035450000000000004,-0.010555555555555433,0.0013888888888888868
amused,VAE+curvature+path_length,logloss,-0.0031344774514215183,-0.010199961262525837,0.004461237469584104
amused,VAE+curvature+path_length,brier,0.0004828790633869638,-0.0026038732825076297,0.003677274211675284
amused,VAE+score+curvature+path_length,auroc,-0.0037797222222222286,-0.010833333333333254,0.0011111111111111738
amused,VAE+score+curvature+path_length,logloss,-0.004156348615357812,-0.011312029602414174,0.0036178391876644104
amused,VAE+score+curvature+path_length,brier,-7.718413532493615e-05,-0.0033938139453746413,0.003504736288228324
