generator,vae_feature,subset,n,pearson_r,pearson_p,spearman_r,spearman_p
sd15,lpips_ae,pooled,120,-0.41157312546026703,3.01124600168094e-06,-0.4658865198972151,8.220345065047563e-08
sd15,lpips_ae,real_only,60,-0.5626832772282135,2.8772620004209345e-06,-0.6196165601555989,1.3021606601144112e-07
sd15,lpips_ae,generated_only,60,-0.44004886073082605,0.00043441126643038134,-0.4216171158655183,0.0007935921699729109
sd15,pixel_mse_ae,pooled,120,-0.3034388009932524,0.0007543814830653676,-0.36821307035210776,3.5081639130327294e-05
sd15,pixel_mse_ae,real_only,60,-0.35374809341604585,0.00555848687197088,-0.4292303417616006,0.0006212858384222069
sd15,pixel_mse_ae,generated_only,60,-0.3524427450469454,0.005748264069097864,-0.3802722978605169,0.002725733987993237
sd15,latent_mse_ae,pooled,120,-0.13559269776840802,0.13977614763931007,-0.22968301563166715,0.01161769175157091
sd15,latent_mse_ae,real_only,60,0.02283830589297982,0.862489567509519,-0.03389830508474576,0.7970819079079251
sd15,latent_mse_ae,generated_only,60,-0.29123654140809535,0.023968310249504937,-0.38138371769936097,0.002642116480361285
sdxl,lpips_ae,pooled,120,-0.2625078309800147,0.0037734157277236834,-0.31242447392180006,0.0005127622301353527
sdxl,lpips_ae,real_only,60,-0.5626832772282135,2.8772620004209345e-06,-0.6196165601555989,1.3021606601144112e-07
sdxl,lpips_ae,generated_only,60,-0.3138541177334779,0.01460559562345527,-0.38255070853014733,0.002556782489076168
sdxl,pixel_mse_ae,pooled,120,-0.2732542986510374,0.0025301827756886467,-0.4065004514202375,4.086766637434236e-06
sdxl,pixel_mse_ae,real_only,60,-0.35374809341604585,0.00555848687197088,-0.4292303417616006,0.0006212858384222069
sdxl,pixel_mse_ae,generated_only,60,-0.4221543650470463,0.0007801473059718578,-0.5322033898305085,1.2060400299993395e-05
sdxl,latent_mse_ae,pooled,120,0.03697351945470574,0.6884772678273945,-0.0903713298053606,0.32628869939361477
sdxl,latent_mse_ae,real_only,60,0.02283830589297982,0.862489567509519,-0.03389830508474576,0.7970819079079251
sdxl,latent_mse_ae,generated_only,60,0.1984230316864754,0.12856067898746307,-0.10433743647919014,0.4275669635578421
pixart_dit,lpips_ae,pooled,120,-0.612496797504498,1.0539380644068365e-13,-0.6777831793874574,1.8620256951796328e-17
pixart_dit,lpips_ae,real_only,60,-0.5626832772282135,2.8772620004209345e-06,-0.6196165601555989,1.3021606601144112e-07
pixart_dit,lpips_ae,generated_only,60,-0.6591926595520984,1.0236170532552005e-08,-0.6550152820227843,1.3626741690433007e-08
pixart_dit,pixel_mse_ae,pooled,120,-0.37307010262575896,2.7101894419284588e-05,-0.4309604833669004,8.941888823155281e-07
pixart_dit,pixel_mse_ae,real_only,60,-0.35374809341604585,0.00555848687197088,-0.4292303417616006,0.0006212858384222069
pixart_dit,pixel_mse_ae,generated_only,60,-0.4453874236396069,0.00036249576649685454,-0.5223673242567382,1.8604132623060652e-05
pixart_dit,latent_mse_ae,pooled,120,-0.018850737153711355,0.8380751429127119,-0.02294966976699395,0.8035136292104837
pixart_dit,latent_mse_ae,real_only,60,0.02283830589297982,0.862489567509519,-0.03389830508474576,0.7970819079079251
pixart_dit,latent_mse_ae,generated_only,60,-0.07411152145099101,0.5735954825312446,-0.053654538134354605,0.6838926279038636
amused,lpips_ae,pooled,120,-0.7663016030937629,2.0215566172580285e-24,-0.7689561775123271,1.1219793612217972e-24
amused,lpips_ae,real_only,60,-0.5626832772282135,2.8772620004209345e-06,-0.6196165601555989,1.3021606601144112e-07
amused,lpips_ae,generated_only,60,-0.3729780930878334,0.0033353785842372887,-0.4100583495415394,0.001138490666384371
amused,pixel_mse_ae,pooled,120,-0.545680220457524,1.1544605192558485e-10,-0.6358010972984234,6.104560434199169e-15
amused,pixel_mse_ae,real_only,60,-0.35374809341604585,0.00555848687197088,-0.4292303417616006,0.0006212858384222069
amused,pixel_mse_ae,generated_only,60,-0.302858058127504,0.018667130479851277,-0.338260627952209,0.008206426817012514
amused,latent_mse_ae,pooled,120,-0.27065189056182376,0.002791415297206229,-0.38415367814437784,1.4806284060472381e-05
amused,latent_mse_ae,real_only,60,0.02283830589297982,0.862489567509519,-0.03389830508474576,0.7970819079079251
amused,latent_mse_ae,generated_only,60,-0.23755649554040636,0.06760118446055226,-0.2507154964984641,0.053339221895871494
