generator,feature_set,auroc,logloss,brier,metric,delta_mean,delta_ci_lo,delta_ci_hi
sd15,C_resid_alone,0.6222222222222222,0.6718189755438809,0.23940278752388255,,,,
sd15,P_resid_alone,0.6625000000000001,0.6409805280754396,0.22574590355135193,,,,
sd15,C_resid_and_P_resid,0.7083333333333334,0.6200386286552174,0.2164786608295099,,,,
sd15,Δ(C_resid_and_P_resid - C_resid_alone),,,,auroc,0.08430472222222221,0.006645833333333374,0.16362500000000002
sd15,Δ(C_resid_and_P_resid - C_resid_alone),,,,logloss,-0.051709840280290076,-0.08500651345051143,-0.023776888929539462
sd15,Δ(C_resid_and_P_resid - C_resid_alone),,,,brier,-0.022889136327684797,-0.038446022768371405,-0.009213552089113898
sd15,Δ(C_resid_and_P_resid - P_resid_alone),,,,auroc,0.044066944444444436,-0.028104166666666718,0.1083541666666666
sd15,Δ(C_resid_and_P_resid - P_resid_alone),,,,logloss,-0.020915252257319446,-0.048743558051173246,0.00958457021902736
sd15,Δ(C_resid_and_P_resid - P_resid_alone),,,,brier,-0.009256695760831601,-0.02224094604252319,0.005331802547271172
sdxl,C_resid_alone,0.4955555555555555,0.6978917836180205,0.2523548679283635,,,,
sdxl,P_resid_alone,0.6952777777777779,0.6281643388106868,0.2198790135984416,,,,
sdxl,C_resid_and_P_resid,0.6819444444444445,0.6304786166887283,0.22102975268243932,,,,
sdxl,Δ(C_resid_and_P_resid - C_resid_alone),,,,auroc,0.1830711111111111,0.06804861111111109,0.28949305555555555
sdxl,Δ(C_resid_and_P_resid - C_resid_alone),,,,logloss,-0.06680998383522668,-0.09894405556664375,-0.033865380191314125
sdxl,Δ(C_resid_and_P_resid - C_resid_alone),,,,brier,-0.03102829350275649,-0.04624538231800241,-0.015070741734691629
sdxl,Δ(C_resid_and_P_resid - P_resid_alone),,,,auroc,-0.01289777777777778,-0.04197222222222222,0.014458333333333465
sdxl,Δ(C_resid_and_P_resid - P_resid_alone),,,,logloss,0.0022694073010935635,-0.006615327515555031,0.011595866495721509
sdxl,Δ(C_resid_and_P_resid - P_resid_alone),,,,brier,0.001126077884870063,-0.003075597382243794,0.005617635244158096
pixart_dit,C_resid_alone,0.4905555555555556,0.6970654005863121,0.25195024895770307,,,,
pixart_dit,P_resid_alone,0.5169444444444444,0.6922246822337594,0.24955250965345807,,,,
pixart_dit,C_resid_and_P_resid,0.49999999999999994,0.696512826427583,0.25167819350221304,,,,
pixart_dit,Δ(C_resid_and_P_resid - C_resid_alone),,,,auroc,0.009065555555555552,-0.09781944444444451,0.1119444444444444
pixart_dit,Δ(C_resid_and_P_resid - C_resid_alone),,,,logloss,-0.0006607271119751765,-0.012678815114847886,0.011556000357245215
pixart_dit,Δ(C_resid_and_P_resid - C_resid_alone),,,,brier,-0.000325788253054394,-0.006329942474334728,0.005727258339064516
pixart_dit,Δ(C_resid_and_P_resid - P_resid_alone),,,,auroc,-0.0177675,-0.06527777777777777,0.02361111111111103
pixart_dit,Δ(C_resid_and_P_resid - P_resid_alone),,,,logloss,0.004368849044005332,-0.0009593397832089234,0.010780832587343473
pixart_dit,Δ(C_resid_and_P_resid - P_resid_alone),,,,brier,0.00216582103948358,-0.00045748292974181267,0.005305465141755272
amused,C_resid_alone,0.5344444444444445,0.6926760531647738,0.24974378931499533,,,,
amused,P_resid_alone,0.5258333333333333,0.6974553997831422,0.2521333200735107,,,,
amused,C_resid_and_P_resid,0.5230555555555556,0.6972554986400513,0.251945594168687,,,,
amused,Δ(C_resid_and_P_resid - C_resid_alone),,,,auroc,-0.01231361111111111,-0.04500000000000004,0.01722916666666658
amused,Δ(C_resid_and_P_resid - C_resid_alone),,,,logloss,0.004581905104860521,-0.0003090751956999482,0.010301332332073872
amused,Δ(C_resid_and_P_resid - C_resid_alone),,,,brier,0.0022030248003838643,-0.00014551213894399556,0.00492513421341038
amused,Δ(C_resid_and_P_resid - P_resid_alone),,,,auroc,-0.0038233333333333314,-0.11560416666666658,0.11031944444444443
amused,Δ(C_resid_and_P_resid - P_resid_alone),,,,logloss,4.198682932141518e-05,-0.013417282792900272,0.012948011859014157
amused,Δ(C_resid_and_P_resid - P_resid_alone),,,,brier,-6.706938062143647e-05,-0.006721845109093789,0.006261823513092737
