generator,subset,cross_fitted_r2,mae,pearson_pred_obs
sd15,pooled,0.1582442548414863,0.05104476177534458,0.4008428118372892
sd15,real_only,0.16335893716863958,0.06001141902639115,0.5036253353043754
sd15,generated_only,-0.05662946346253084,0.042078104524298034,0.48547966310030655
sdxl,pooled,0.0441986988885229,0.05430790268722984,0.22623382222892896
sdxl,real_only,0.06290569835746396,0.06614914793327144,0.41577896411048454
sdxl,generated_only,-0.2402059380976138,0.04246665744118825,0.2982611359212212
pixart_dit,pooled,0.33994963652144183,0.050699219354584754,0.5845310009880298
pixart_dit,real_only,0.2615613550585726,0.05865637732935943,0.5193251527700752
pixart_dit,generated_only,0.3743262952472377,0.04274206137981007,0.6243234440295713
amused,pooled,0.564134092150421,0.056253253478361256,0.7517995939769092
amused,real_only,0.24027375469665158,0.06111347881574451,0.5237127382290816
amused,generated_only,0.11075350598562506,0.051393028140978,0.33833755643292773
