held_generator,representation,selected_c,n_features,auroc
ADM,single,0.001,608,0.2
ADM,prompt_mean,0.001,608,0.2
ADM,prompt_mean_sensitivity,0.001,1216,0.16
BigGAN,single,0.1,608,0.44
BigGAN,prompt_mean,0.1,608,0.52
BigGAN,prompt_mean_sensitivity,0.001,1216,0.6799999999999999
DALLE2,single,0.1,608,0.39999999999999997
DALLE2,prompt_mean,0.01,608,0.48
DALLE2,prompt_mean_sensitivity,0.001,1216,0.6
GLIDE,single,0.001,608,0.8400000000000001
GLIDE,prompt_mean,0.001,608,0.8400000000000001
GLIDE,prompt_mean_sensitivity,0.001,1216,0.8
Midjourney,single,0.001,608,0.52
Midjourney,prompt_mean,0.001,608,0.52
Midjourney,prompt_mean_sensitivity,1.0,1216,0.52
SD14,single,0.001,608,0.6799999999999999
SD14,prompt_mean,0.001,608,0.72
SD14,prompt_mean_sensitivity,0.001,1216,0.8
SDXL,single,0.001,608,0.56
SDXL,prompt_mean,1.0,608,0.52
SDXL,prompt_mean_sensitivity,0.001,1216,0.6000000000000001
VQDM,single,0.001,608,0.72
VQDM,prompt_mean,0.001,608,0.68
VQDM,prompt_mean_sensitivity,0.001,1216,0.72
