curve,step,generator,mean_prompt_variance,n
rich_score_norm_t,0,ADM,6.331567151460317e-08,5
rich_score_norm_t,0,BigGAN,1.9455530855482473e-07,5
rich_score_norm_t,0,DALLE2,3.623058478169451e-07,5
rich_score_norm_t,0,GLIDE,3.009977421131936e-07,5
rich_score_norm_t,0,Midjourney,1.5079438993186348e-07,5
rich_score_norm_t,0,SD14,1.7442450689978275e-07,5
rich_score_norm_t,0,SDXL,1.0052033039437386e-07,5
rich_score_norm_t,0,VQDM,1.5329955845753317e-07,5
rich_score_norm_t,0,real,1.2870856894659067e-07,40
rich_score_norm_t,1,ADM,5.410239566812239e-07,5
rich_score_norm_t,1,BigGAN,9.484409710137134e-07,5
rich_score_norm_t,1,DALLE2,2.4289269641618785e-07,5
rich_score_norm_t,1,GLIDE,6.413286650420611e-07,5
rich_score_norm_t,1,Midjourney,3.842697378249039e-07,5
rich_score_norm_t,1,SD14,2.760936765228099e-07,5
rich_score_norm_t,1,SDXL,3.6330926294587117e-07,5
rich_score_norm_t,1,VQDM,2.524254985574203e-07,5
rich_score_norm_t,1,real,6.890083730216215e-07,40
rich_score_norm_t,2,ADM,3.2721659305512656e-06,5
rich_score_norm_t,2,BigGAN,9.613067144133752e-07,5
rich_score_norm_t,2,DALLE2,1.029500699212079e-06,5
rich_score_norm_t,2,GLIDE,1.9220058797888852e-06,5
rich_score_norm_t,2,Midjourney,5.373361680066275e-07,5
rich_score_norm_t,2,SD14,5.622425729143236e-07,5
rich_score_norm_t,2,SDXL,1.0210646832553065e-06,5
rich_score_norm_t,2,VQDM,1.7922444546957286e-06,5
rich_score_norm_t,2,real,2.528672664712789e-06,40
rich_score_norm_t,3,ADM,3.891294263160784e-06,5
rich_score_norm_t,3,BigGAN,1.7658284613012245e-06,5
rich_score_norm_t,3,DALLE2,3.5208143212924735e-07,5
rich_score_norm_t,3,GLIDE,3.1489471111176623e-07,5
rich_score_norm_t,3,Midjourney,4.1173586845954576e-07,5
rich_score_norm_t,3,SD14,3.825118177668459e-07,5
rich_score_norm_t,3,SDXL,1.836294927736092e-07,5
rich_score_norm_t,3,VQDM,1.29940710686529e-06,5
rich_score_norm_t,3,real,8.756497093362055e-07,40
rich_score_norm_t,4,ADM,1.1177238912862373e-06,5
rich_score_norm_t,4,BigGAN,5.575897052276138e-07,5
rich_score_norm_t,4,DALLE2,4.453400915825707e-07,5
rich_score_norm_t,4,GLIDE,5.523618636229551e-07,5
rich_score_norm_t,4,Midjourney,2.5288967228930396e-07,5
rich_score_norm_t,4,SD14,2.770248395802639e-07,5
rich_score_norm_t,4,SDXL,1.90876278102651e-07,5
rich_score_norm_t,4,VQDM,4.4235171073442844e-07,5
rich_score_norm_t,4,real,1.2260231128804115e-06,40
rich_score_norm_t,5,ADM,1.0734890390667694e-06,5
rich_score_norm_t,5,BigGAN,3.291500787425897e-07,5
rich_score_norm_t,5,DALLE2,5.376827634599267e-07,5
rich_score_norm_t,5,GLIDE,3.2317943948388757e-07,5
rich_score_norm_t,5,Midjourney,3.0013845190534675e-07,5
rich_score_norm_t,5,SD14,2.0094112976567304e-07,5
rich_score_norm_t,5,SDXL,1.1836444331401252e-07,5
rich_score_norm_t,5,VQDM,3.939871985506772e-07,5
rich_score_norm_t,5,real,7.230918927771463e-07,40
