family,generator,n,mean_prompt_std,median_prompt_std
noise_curve,ADM,5,0.0008419157849537701,0.0008243876618730588
noise_curve,BigGAN,5,0.0005721207335595621,0.0005418557305722458
noise_curve,DALLE2,5,0.0005245585386495202,0.0004559129573020409
noise_curve,GLIDE,5,0.0005094617804821844,0.0003504345931308028
noise_curve,Midjourney,5,0.0004472805472120995,0.0004453343565164386
noise_curve,SD14,5,0.00039694386003203,0.0004163756714522158
noise_curve,SDXL,5,0.0003488171860281045,0.0002877158794650389
noise_curve,VQDM,5,0.0005460520321111446,0.0005771125639089622
noise_curve,real,40,0.0006420198009141892,0.0005984474211054144
score_dynamics,ADM,5,0.0012008707521516796,0.0010399576344775538
score_dynamics,BigGAN,5,0.000978770913746793,0.0009347215864818415
score_dynamics,DALLE2,5,0.0009359794419418696,0.0007143355582744271
score_dynamics,GLIDE,5,0.0007284389114183562,0.0007432388690418797
score_dynamics,Midjourney,5,0.0005877187196554623,0.000636974890119279
score_dynamics,SD14,5,0.0005802542750897864,0.0006511940889246051
score_dynamics,SDXL,5,0.0006388085083750771,0.0006256733371767117
score_dynamics,VQDM,5,0.0007127971022940508,0.0004737510439974222
score_dynamics,real,40,0.0010093981250868557,0.000956203650866521
spatial_score,ADM,5,0.0009602303640746723,0.0008147128527516033
spatial_score,BigGAN,5,0.0006871138076452968,0.0007532346499931834
spatial_score,DALLE2,5,0.0005747752278740626,0.00046959037253050913
spatial_score,GLIDE,5,0.0005595371484780235,0.00041293184718356213
spatial_score,Midjourney,5,0.00048642567180664126,0.00047090257033396884
spatial_score,SD14,5,0.00048171398868709046,0.00047011419798919556
spatial_score,SDXL,5,0.0004771102657972205,0.00046749854404875814
spatial_score,VQDM,5,0.000567009119134633,0.0004533202555744055
spatial_score,real,40,0.0006888793691277999,0.0006452242244090389
frequency_score,ADM,5,0.00843899575845725,0.008840754738858035
frequency_score,BigGAN,5,0.007493408674741621,0.006880665604477725
frequency_score,DALLE2,5,0.0048495194266273845,0.003508780862669414
frequency_score,GLIDE,5,0.0058816545619099145,0.006118950116669056
frequency_score,Midjourney,5,0.005849244143408227,0.005555336727734071
frequency_score,SD14,5,0.005839867548127309,0.0062166510394203525
frequency_score,SDXL,5,0.005432731194576825,0.004659217619013062
frequency_score,VQDM,5,0.006320730738395617,0.0052281319880204905
frequency_score,real,40,0.006306688732008496,0.005160899916774159
latent_typicality,ADM,5,0.002066445884394866,0.0016382000879974813
latent_typicality,BigGAN,5,0.001566380091224244,0.0015625936169575384
latent_typicality,DALLE2,5,0.001073261622336323,0.0010580993849591254
latent_typicality,GLIDE,5,0.0008038716503913258,0.0006280684379852846
latent_typicality,Midjourney,5,0.0007214419724220582,0.0007110243757499418
latent_typicality,SD14,5,0.0009797528911100236,0.0010826878337724638
latent_typicality,SDXL,5,0.0011696869897726261,0.0009960421850848456
latent_typicality,VQDM,5,0.0010096826517351043,0.0006800616193577009
latent_typicality,real,40,0.0014669496992860726,0.0013404425505069517
