representation,k,mean_principal_angle_deg,projection_energy_AM_on_SD,projection_energy_SD_on_AM
rgb32,1,26.46066471905253,0.22515211517819506,0.1283463836482051
rgb32,2,29.389920748203313,0.30425002410416846,0.1987864343441118
rgb32,3,29.229286343819606,0.35367804640029976,0.25161238366915195
rgb32,5,36.014289367105484,0.42009654325433493,0.3157098011903619
rgb32,10,42.0460200766711,0.5032346246000856,0.4081832328574328
vae_latent_z0,1,34.13699371285776,0.10630005854117208,0.047476116025250995
vae_latent_z0,2,48.91282597548309,0.12922448526534736,0.0679138012569991
vae_latent_z0,3,55.56188708364459,0.15230283100222008,0.0835786985384883
vae_latent_z0,5,51.13990332471343,0.18427362960255253,0.11710285491816706
vae_latent_z0,10,53.219370081233684,0.23922130433713173,0.16786161209066305
fft32,1,13.982904718705873,0.5430026735697863,0.33315924122587254
fft32,2,17.35909504423409,0.6315086631778254,0.4554803203402763
fft32,3,20.66682305383233,0.6912344600047998,0.5320439846531403
fft32,5,34.72396378312212,0.7401167562506868,0.6010146120011125
fft32,10,31.114781483655783,0.8147064544410614,0.6974314953277785
cifar32_classB,1,0.7084750128393604,0.9400471763906811,0.9660703174010002
cifar32_classB,2,3.362977640755401,0.9896013014877016,0.9890046933726805
cifar32_classB,3,3.4044374522813676,0.9961511887027414,0.9968737068448162
cifar32_classB,5,2.5920446941343194,0.9995263580922905,0.9995129708378511
cifar32_classB,10,5.0031234481012135,0.9999558451125767,0.9999537819742528
