tensor,k,observed_projection_energy_AM_on_SD,random_subspace_mean,random_subspace_sd,empirical_p_exceeds_random
z,1,0.04786826991731338,3.440496081327975e-05,7.128331462133767e-06,0.0
z,2,0.059838051828966406,7.025348847867735e-05,1.0882379744675333e-05,0.0
z,3,0.07204936153444537,0.00010472240310251066,1.3161348164318696e-05,0.0
z,5,0.09064650485822379,0.00017340035554036428,1.7050467098943862e-05,0.0
z,10,0.12431629103800224,0.00034751462955561185,2.2112611650501658e-05,0.0
cond,1,0.0062768434403880245,3.990278890129321e-05,7.25293857728876e-06,0.0
cond,2,0.011929887543746498,8.118701366062326e-05,1.0203949600573654e-05,0.0
cond,3,0.01734594577250134,0.00012261377048715475,1.3074607705169327e-05,0.0
cond,5,0.028231734421822093,0.0002036987173143485,1.6831162403735132e-05,0.0
cond,10,0.054211233833279214,0.0004065974137261326,2.435780331122306e-05,0.0
uncond,1,0.006348257445318925,4.0557397220233104e-05,7.595590872152947e-06,0.0
uncond,2,0.012011759650991796,8.217804662258455e-05,1.025889872949516e-05,0.0
uncond,3,0.017400130944847783,0.00012328435624980308,1.2779400768741236e-05,0.0
uncond,5,0.028397903989633256,0.0002032951744131886,1.744909372391295e-05,0.0
uncond,10,0.05418384856520584,0.0004055324240755767,2.172320572228192e-05,0.0
guidance,1,0.020507360426630025,4.02411654318939e-05,8.339196089316259e-06,0.0
guidance,2,0.03346452065410202,8.164019912633842e-05,1.1915722397432875e-05,0.0
guidance,3,0.04886830305531128,0.00012206317527215775,1.3858677204722717e-05,0.0
guidance,5,0.07474595910857709,0.00020385352506322496,1.7725968262316846e-05,0.0
guidance,10,0.1275478811431735,0.00040453664327799504,2.7368035051952744e-05,0.0
dz,1,0.0937969123996221,4.1039163447515374e-05,1.0801205881340332e-05,0.0
dz,2,0.11276521104294022,8.196293029450988e-05,1.3693673741360054e-05,0.0
dz,3,0.13277359158906046,0.00012138003288427749,1.7031979340757233e-05,0.0
dz,5,0.1584505301294813,0.00020292332160262014,2.2285865928684542e-05,0.0
dz,10,0.2014610680263198,0.0004084013109671932,3.693513378012458e-05,0.0
