tensor,k,metric,point,ci_lo,ci_hi
z,5,projection_energy_AM_on_SD,0.09064650485822379,0.07778788965550693,0.11977934216187482
z,5,projection_energy_SD_on_AM,0.06143841314104204,0.07194560049719294,0.10527742048656381
z,5,mean_principal_angle_deg,59.453794987370145,58.13981400399681,66.91384780306312
cond,5,projection_energy_AM_on_SD,0.028231734421822093,0.05542405564103288,0.089557699231091
cond,5,projection_energy_SD_on_AM,0.02817944669031922,0.05773520520369084,0.08829500429747474
cond,5,mean_principal_angle_deg,77.07903731448248,58.30606364804695,69.20826265370131
uncond,5,projection_energy_AM_on_SD,0.028397903989633256,0.055111496882936914,0.08816201514559253
uncond,5,projection_energy_SD_on_AM,0.02800463032895404,0.056949656737934985,0.08655660260092798
uncond,5,mean_principal_angle_deg,76.75759366489126,58.615666428637134,69.02620073302919
guidance,5,projection_energy_AM_on_SD,0.07474595910857709,0.0874523986112013,0.17807071430411733
guidance,5,projection_energy_SD_on_AM,0.07243761649465387,0.09333754623069898,0.18243550378080298
guidance,5,mean_principal_angle_deg,61.84344272395335,48.10826425093147,65.05872213955449
dz,5,projection_energy_AM_on_SD,0.1584505301294813,0.11966764873124551,0.17806886644742265
dz,5,projection_energy_SD_on_AM,0.10566820032958081,0.09458898192748122,0.14094897828192623
dz,5,mean_principal_angle_deg,50.63900755652613,55.3418046422842,64.99783672593226
