generator,tensor,pc,feature,spearman_r,spearman_p
sd15,z,1,rich_guidance_t2_median,-0.22230253057081945,0.08779254054467707
sd15,z,1,rich_guidance_t4_mean,0.05862739649902752,0.6563515998545151
sd15,z,1,rich_guidance_t0_skew,0.12403445401500418,0.3450629277209699
sd15,z,1,rich_guidance_t4_skew,-0.0873020283412059,0.5071503478128887
sd15,z,1,rich_score_t5_nearzero,0.02178269032972926,0.8687880004064507
sd15,z,1,rich_guidance_t5_median,0.19123330041843475,0.14328343535837879
sd15,z,1,rich_guidance_t3_median,-0.02612526320548742,0.8429337879448419
sd15,z,1,rich_score_t0_mean,-0.10180605723812172,0.43892380817478277
sd15,z,1,rich_score_t3_nearzero,0.11621056780651581,0.376572900819304
sd15,z,1,rich_latent_step_t5,0.12597943873298142,0.3374915922502224
sd15,z,1,rich_score_t0_kurtosis,0.033231453181439295,0.8009912501695988
sd15,z,1,rich_latent_t4_nearzero,0.08109505317155385,0.5379199747011066
sd15,z,1,rich_guidance_t1_kurtosis,-0.026674076132258966,0.8396774588993203
sd15,z,1,rich_latent_step_slope,0.17638232842456242,0.17762373509982082
sd15,z,1,rich_guidance_dz_orthfrac_t4,0.05357043623228676,0.6843620737463136
sd15,z,1,rich_latent_step_late,0.13331480966935264,0.30988144266451473
sd15,z,1,rich_guidance_t3_skew,0.2614059460961379,0.04364593403845546
sd15,z,1,rich_guidance_t1_maxabs,-0.21450402889691586,0.09980327914096677
sd15,z,1,rich_guidance_dz_orthfrac_t2,0.18738538482911923,0.15166303679073934
sd15,z,1,rich_latent_step_t3,0.11203111975548766,0.3940909557737081
sd15,z,1,rich_latent_t2_nearzero,0.05873194479883389,0.6557772778121139
sd15,z,1,speed_mean,0.06968602389552654,0.596753710428578
sd15,z,1,rich_latent_step_mean,0.06968602389552654,0.596753710428578
sd15,z,1,path_length,0.06968602389552654,0.596753710428578
sd15,z,1,rich_guidance_t1_median,0.2035642149602577,0.11875613661529245
sd15,z,1,latent_roundtrip_mse,0.05807168657960546,0.6594076314102201
sd15,z,1,rich_guidance_t5_mean,0.18594053903862187,0.15490156744541864
sd15,z,1,rich_latent_step_t4,0.12831342039455407,0.3285443848050991
sd15,z,1,rich_latent_t3_extreme3,0.07221014023299152,0.5834943648661934
sd15,z,1,rich_latent_step_auc,0.06524034454015006,0.620425666755242
sd15,z,2,rich_guidance_t2_median,-0.013619434856176735,0.9177397749153517
sd15,z,2,rich_guidance_t4_mean,-0.04373437065851626,0.740042150461636
sd15,z,2,rich_guidance_t0_skew,-0.0710197277021395,0.5897310228250789
sd15,z,2,rich_guidance_t4_skew,-0.012670186162823008,0.9234553507716595
sd15,z,2,rich_score_t5_nearzero,-0.18583444623574902,0.15514136776795262
sd15,z,2,rich_guidance_t5_median,-0.042749537215632655,0.7456965276155086
sd15,z,2,rich_guidance_t3_median,0.04455191161531526,0.7353586310239768
sd15,z,2,rich_score_t0_mean,-0.13920533481522648,0.28879332801592367
sd15,z,2,rich_score_t3_nearzero,-0.06472522529577844,0.6231940818395314
sd15,z,2,rich_latent_step_t5,-0.2714642956376772,0.03589676617100319
sd15,z,2,rich_score_t0_kurtosis,0.00800222283967769,0.9516124840569798
sd15,z,2,rich_latent_t4_nearzero,0.09417041337417145,0.4741833217051294
sd15,z,2,rich_guidance_t1_kurtosis,-0.2941928313420395,0.022511866916595225
sd15,z,2,rich_latent_step_slope,-0.3050847457627119,0.017774789970915205
sd15,z,2,rich_guidance_dz_orthfrac_t4,-0.05373714920811338,0.6834316194803286
sd15,z,2,rich_latent_step_late,-0.2569046957488192,0.04753423707785473
sd15,z,2,rich_guidance_t3_skew,0.16221172547929985,0.21561395306339443
sd15,z,2,rich_guidance_t1_maxabs,-0.006001667129758267,0.9636998758381966
sd15,z,2,rich_guidance_dz_orthfrac_t2,-0.26273964990275084,0.04254543595923627
sd15,z,2,rich_latent_step_t3,-0.20183384273409286,0.12199017357661274
sd15,z,2,rich_latent_t2_nearzero,0.3017520516155997,0.019124364354893127
sd15,z,2,speed_mean,-0.183273131425396,0.16101429101583908
sd15,z,2,rich_latent_step_mean,-0.183273131425396,0.16101429101583908
sd15,z,2,path_length,-0.183273131425396,0.16101429101583908
sd15,z,2,rich_guidance_t1_median,-0.031860774425628964,0.8090418551189146
sd15,z,2,latent_roundtrip_mse,-0.04290080577938317,0.7448271498166786
sd15,z,2,rich_guidance_t5_mean,-0.1924979160878022,0.14060644310534223
