tensor,k,mean_principal_angle_deg,min_principal_angle_deg,max_principal_angle_deg,projection_energy_AM_on_SD_basis,projection_energy_SD_on_AM_basis
z,1,43.437870570306984,43.437870570306984,43.437870570306984,0.04786826991731338,0.02328462131088035
z,2,57.4832095634038,42.14639042710016,72.82002869970744,0.059838051828966406,0.03385147686273372
z,3,62.29771330658202,41.984472808538506,85.15388201543419,0.07204936153444537,0.04312641657553653
z,5,59.453794987370145,40.29242452092482,74.97278198867618,0.09064650485822379,0.06143841314104204
z,10,61.64267160216379,39.124320866492845,88.99691178554654,0.12431629103800224,0.09651088077172822
cond,1,84.80297280999937,84.80297280999937,84.80297280999937,0.0062768434403880245,0.0057341465212089
cond,2,77.28273891155685,66.59705544261891,87.96842238049479,0.011929887543746498,0.011966018742254222
cond,3,77.3975613060138,66.20055625175739,84.24414140708768,0.01734594577250134,0.017329740773601495
cond,5,77.07903731448248,65.0941412837307,89.6158424335273,0.028231734421822093,0.02817944669031922
cond,10,73.80769100276095,60.38422958901419,88.79577301413585,0.054211233833279214,0.0556875639365431
uncond,1,82.35542131614835,82.35542131614835,82.35542131614835,0.006348257445318925,0.005800836771672827
uncond,2,77.71933140998685,66.09200146695424,89.34666135301946,0.012011759650991796,0.011941207346572572
uncond,3,77.28156288888408,66.0102890459158,83.75276622802872,0.017400130944847783,0.01735554249542246
uncond,5,76.75759366489126,64.74890363888483,89.83932412292813,0.028397903989633256,0.02800463032895404
uncond,10,73.4064050983813,60.22881038404336,86.85527945163594,0.05418384856520584,0.05554971085138006
guidance,1,67.71458400026597,67.71458400026597,67.71458400026597,0.020507360426630025,0.015904041653399217
guidance,2,59.568706564987615,46.55545038363813,72.5819627463371,0.03346452065410202,0.03607230518071211
guidance,3,60.955322218783095,46.55451693147892,84.9783299699713,0.04886830305531128,0.05155477793376732
guidance,5,61.84344272395335,46.25094159996718,89.44503137923697,0.07474595910857709,0.07243761649465387
guidance,10,57.116509647673674,44.965230615170576,81.71393825046644,0.1275478811431735,0.12976698162419503
dz,1,33.85901161591326,33.85901161591326,33.85901161591326,0.0937969123996221,0.045152772840557125
dz,2,49.34044718740081,32.805666281697484,65.87522809310414,0.11276521104294022,0.0627367826272159
dz,3,53.142500437935944,32.386320893553425,77.12062314729343,0.13277359158906046,0.07668361253943459
dz,5,50.63900755652613,30.854081323998436,68.42348453622232,0.1584505301294813,0.10566820032958081
dz,10,55.44571666714319,29.648410727723586,85.12991760185356,0.2014610680263198,0.14877802269623813
